id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,counterpress,off_camera,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
149ab95f-ba42-4e5f-86ec-712a8ca9f4fa,1335,1,30,,72,From Free Kick,Turkey,İrfan Can Kahveci,Left Center Midfield,1.155663,3788765,30311,,,,Complete,23558,Merih Demiral,Ground Pass,Left Foot,51.632885,70.27086,36.6,69.2
e80ac0ec-4ba6-45ec-815c-468e5dbdaeeb,1338,1,30,,72,From Free Kick,Turkey,Merih Demiral,Right Center Back,0.748918,3788765,23558,,,,Complete,30311,İrfan Can Kahveci,Ground Pass,Right Foot,40.399612,67.8534,45.6,72.7
33d9f9ef-faba-4e01-b22c-fd44c1ce7309,1341,1,31,,72,From Free Kick,Turkey,İrfan Can Kahveci,Left Center Midfield,1.147331,3788765,30311,,,,Complete,23558,Merih Demiral,Ground Pass,Left Foot,47.21924,70.10825,33.9,65.0
935c30d9-ae47-42e5-b8ec-e0019b1304f5,1344,1,31,,72,From Free Kick,Turkey,Merih Demiral,Right Center Back,1.665863,3788765,23558,,,,Complete,8963,Caglar Söyüncü,Ground Pass,Right Foot,32.635357,60.295105,33.0,20.9
395d4d09-5204-4d17-b0a7-d1242b80a7fe,1347,1,31,,72,From Free Kick,Turkey,Caglar Söyüncü,Left Center Back,1.271521,3788765,8963,,,,Complete,23558,Merih Demiral,Ground Pass,Left Foot,42.256123,35.48909,39.6,49.6
f4afe473-b156-419d-b6e4-4f1b5345e179,1350,1,31,,72,From Free Kick,Turkey,Merih Demiral,Right Center Back,1.513932,3788765,23558,,,,Complete,8963,Caglar Söyüncü,Ground Pass,Right Foot,53.143333,56.069504,42.0,26.2
b885fb2e-c6ad-4e1c-a6f6-6722bf24f4f5,1353,1,31,,72,From Free Kick,Turkey,Caglar Söyüncü,Left Center Back,0.903178,3788765,8963,,,,Complete,11088,Ozan Tufan,Ground Pass,Right Foot,44.39829,35.516922,49.9,44.9
dca93cf2-d5b4-4bec-9076-e3a8a3d53614,1356,1,31,,72,From Free Kick,Turkey,Ozan Tufan,Right Center Midfield,0.894168,3788765,11088,,,,Complete,6971,Cengiz Ünder,Ground Pass,Left Foot,57.24429,51.05082,68.3,57.3
bf410955-164a-4d23-816a-ef75d81758dc,1359,1,31,,72,From Free Kick,Turkey,Cengiz Ünder,Right Midfield,2.118355,3788765,6971,,,,Incomplete,11086,Burak Yılmaz,High Pass,Left Foot,68.715935,67.74264,101.9,50.4
67a68e3f-ac7f-4d70-88ca-16833088baf6,1362,1,31,Corner,73,From Corner,Turkey,Hakan Çalhanoğlu,Left Midfield,1.834131,3788765,7039,,,,Complete,23558,Merih Demiral,High Pass,Right Foot,120.0,80.0,108.7,34.2
db1035e4-0d1c-42ad-abb3-cc2c8d749ca7,1364,1,31,,73,From Corner,Turkey,Merih Demiral,Right Center Back,3.660132,3788765,23558,,,,Complete,30311,İrfan Can Kahveci,High Pass,Head,109.568634,33.79622,90.5,2.7
ea541a2e-fa38-46b8-a108-505c18957743,1367,1,32,,73,From Corner,Turkey,İrfan Can Kahveci,Left Center Midfield,1.21213,3788765,30311,,,,Complete,10826,Mert Müldür,Ground Pass,Left Foot,92.09525,8.847268,84.1,7.2
d106b241-119f-4798-95a2-8b8c167cc836,1371,1,32,,73,From Corner,Turkey,Mert Müldür,Left Back,2.324602,3788765,10826,True,,,Complete,10349,Mehmet Zeki Çelik,Ground Pass,Right Foot,82.79275,18.98102,67.7,38.4
b659111a-2d68-46d6-ac5c-bceaab41004f,1374,1,32,,73,From Corner,Turkey,Mehmet Zeki Çelik,Right Back,0.88685,3788765,10349,,,,Complete,11088,Ozan Tufan,Ground Pass,Right Foot,67.313194,41.86057,74.5,28.4
d2d5bc17-ba0f-409b-8aef-cbe304e39680,1378,1,32,,73,From Corner,Turkey,Ozan Tufan,Right Center Midfield,0.604148,3788765,11088,True,,,Complete,8963,Caglar Söyüncü,Ground Pass,Right Foot,75.56147,33.58658,82.8,33.9
d21f51d1-9666-4aa7-a72a-3c8978b6d101,1381,1,32,,73,From Corner,Turkey,Caglar Söyüncü,Left Center Back,0.492671,3788765,8963,,,,Complete,11088,Ozan Tufan,Ground Pass,Right Foot,82.5795,39.536568,77.5,34.2
7e66c385-1a08-42f6-9ed4-df1bc15171d2,1384,1,32,,73,From Corner,Turkey,Ozan Tufan,Right Center Midfield,1.646672,3788765,11088,,,,Complete,6971,Cengiz Ünder,Low Pass,Right Foot,77.31466,44.847523,92.7,71.4
47e123d5-1a83-4033-a444-d0039c35cdfd,1388,1,32,,73,From Corner,Turkey,Cengiz Ünder,Right Midfield,1.790962,3788765,6971,True,,,Complete,12293,Kaan Ayhan,Ground Pass,Left Foot,95.64985,63.5346,111.5,74.6
484dfa83-85b5-467c-becf-b49ae882073b,1391,1,32,,73,From Corner,Turkey,Kaan Ayhan,Center Defensive Midfield,1.497967,3788765,12293,,,,Incomplete,,,High Pass,Right Foot,111.3,74.4,109.8,35.2
b35ab163-1124-4df2-b99d-c1577d5ac7ab,1397,1,32,Corner,74,From Corner,Turkey,İrfan Can Kahveci,Left Center Midfield,1.252558,3788765,30311,,,,Incomplete,,,High Pass,Left Foot,116.82092,2.3359752,112.4,33.1
ee355787-87ad-40ec-8c9e-63fa193b1e27,1402,1,33,,74,From Corner,Turkey,Mert Müldür,Left Back,1.413381,3788765,10826,,,,Complete,10349,Mehmet Zeki Çelik,Ground Pass,Right Foot,90.30721,49.982185,94.2,67.7
746efb2e-831e-475f-bd8d-538f2db318e3,1405,1,33,,74,From Corner,Turkey,Mehmet Zeki Çelik,Right Back,2.008779,3788765,10349,,,,Complete,10826,Mert Müldür,Ground Pass,Right Foot,93.967995,72.10482,106.2,65.2
4a4dc546-73df-4ed8-92c6-c0d5366ada60,1421,1,33,,75,Regular Play,Switzerland,Steven Zuber,Left Wing Back,1.270779,3788765,5548,True,,,Complete,5545,Breel-Donald Embolo,Ground Pass,Left Foot,38.165695,1.93143,51.2,11.5
a3b07cc9-8e61-43a8-a2b9-7f60932c8cb9,1428,1,33,,75,Regular Play,Switzerland,Breel-Donald Embolo,Left Center Forward,4.698672,3788765,5545,,,,Complete,5543,Haris Seferović,Ground Pass,Right Foot,61.309242,25.961628,104.9,72.0
b3a5ee08-f2b0-4666-b2f1-292d547f793a,1431,1,33,,75,Regular Play,Switzerland,Haris Seferović,Right Center Forward,4.711517,3788765,5543,,,,Out,,,High Pass,Left Foot,102.65661,70.5122,120.0,8.3
4dc1126e-950a-476f-a08b-f7c01fc27d7b,1432,1,33,Goal Kick,76,From Goal Kick,Turkey,Uğurcan Çakır,Goalkeeper,2.620508,3788765,30357,,,True,Complete,7039,Hakan Çalhanoğlu,Ground Pass,Right Foot,6.0,36.0,11.2,47.6
1df942b3-3095-4951-9d92-1d9fceec7b7e,1434,1,33,,76,From Goal Kick,Turkey,Hakan Çalhanoğlu,Left Midfield,1.906572,3788765,7039,,,True,Complete,8963,Caglar Söyüncü,Ground Pass,Left Foot,11.2,47.6,30.6,14.1
57db03c4-df45-4c4d-876f-e1e943d74778,1436,1,33,,76,From Goal Kick,Turkey,Caglar Söyüncü,Left Center Back,1.271094,3788765,8963,,,,Complete,10826,Mert Müldür,Ground Pass,Right Foot,29.336294,21.51606,39.8,3.8
91121821-53f5-4805-9f67-b55a67f89116,1439,1,33,,76,From Goal Kick,Turkey,Mert Müldür,Left Back,1.116778,3788765,10826,,,,Complete,8963,Caglar Söyüncü,Ground Pass,Right Foot,41.50887,6.679467,33.4,7.2
1172ee36-7b95-43d5-b84e-a84b37d03a73,1442,1,34,,76,From Goal Kick,Turkey,Caglar Söyüncü,Left Center Back,1.865184,3788765,8963,,,,Complete,11086,Burak Yılmaz,High Pass,Right Foot,34.23588,30.9082,62.9,25.4
077d33d9-e876-4ed5-bd31-fbf468a80e5d,1445,1,34,,76,From Goal Kick,Turkey,Burak Yılmaz,Center Forward,0.87793,3788765,11086,,,,Complete,30311,İrfan Can Kahveci,Low Pass,Other,63.98493,29.36547,54.6,21.8
8cc6a7c1-2c1d-43dd-89a0-ef3c252aaaf4,1448,1,34,,76,From Goal Kick,Turkey,İrfan Can Kahveci,Left Center Midfield,2.568887,3788765,30311,,,,Complete,7039,Hakan Çalhanoğlu,High Pass,Left Foot,55.59901,22.36934,48.4,28.4
be4fada9-712d-4f62-b5e6-93b5c8d93667,1453,1,34,,76,From Goal Kick,Turkey,Hakan Çalhanoğlu,Left Midfield,2.052923,3788765,7039,,,,Complete,23558,Merih Demiral,Low Pass,Right Foot,45.667305,33.265144,38.3,55.5
c222fdea-67b5-4854-845d-9046714f735e,1456,1,34,,76,From Goal Kick,Turkey,Merih Demiral,Right Center Back,2.429572,3788765,23558,,,,Complete,12293,Kaan Ayhan,Ground Pass,Right Foot,47.06139,57.192886,62.5,61.3
c5663c22-b1f3-425a-8600-49fd4d1a1d0a,1459,1,34,,76,From Goal Kick,Turkey,Kaan Ayhan,Center Defensive Midfield,0.862488,3788765,12293,,,,Complete,6971,Cengiz Ünder,Ground Pass,Left Foot,69.6,63.9,75.6,70.5
49d24c94-edd4-49e5-8cd6-98eb7bc0d7d0,1462,1,34,,76,From Goal Kick,Turkey,Cengiz Ünder,Right Midfield,1.653149,3788765,6971,,,,Complete,23558,Merih Demiral,Ground Pass,Left Foot,74.85342,71.239716,57.2,69.0
255208b8-9072-4e21-b39b-30efa19f05d1,1465,1,34,,76,From Goal Kick,Turkey,Merih Demiral,Right Center Back,1.022814,3788765,23558,,,,Complete,11088,Ozan Tufan,Ground Pass,Right Foot,57.546078,66.64804,55.9,48.7
d1783727-482c-4940-8ff8-a0b9ed20e84c,1468,1,34,,76,From Goal Kick,Turkey,Ozan Tufan,Right Center Midfield,0.727217,3788765,11088,,,,Complete,12293,Kaan Ayhan,Ground Pass,Right Foot,65.88972,49.033184,70.6,58.3
d4a1e41e-1082-41b5-913d-9e214e80546f,1471,1,34,,76,From Goal Kick,Turkey,Kaan Ayhan,Center Defensive Midfield,0.720595,3788765,12293,,,,Complete,7039,Hakan Çalhanoğlu,Ground Pass,Right Foot,76.5514,62.500362,86.5,51.7
3f430710-014b-4413-aa4a-62d1b4855448,1475,1,34,,76,From Goal Kick,Turkey,Hakan Çalhanoğlu,Left Midfield,0.894855,3788765,7039,,,,Complete,12293,Kaan Ayhan,Ground Pass,Right Foot,81.039154,55.913292,77.1,60.9
