id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
de9ceca2-31ec-41ee-8081-1993f092d0f1,2410,2,52,,84,Regular Play,Belgium,Kevin De Bruyne,Right Defensive Midfield,1.745261,3788768,3089,,,,,Complete,6332,Thomas Vermaelen,Ground Pass,Right Foot,90.55868,18.26646,78.4,15.6
cb30dc1b-9485-428d-a4bf-988947f748a2,2413,2,52,,84,Regular Play,Belgium,Thomas Vermaelen,Left Center Back,1.059599,3788768,6332,,,,,Complete,3089,Kevin De Bruyne,Ground Pass,Left Foot,81.84342,21.228664,90.8,5.4
3444d13b-d78c-4d07-bb9c-731327a8c8de,2416,2,52,,84,Regular Play,Belgium,Kevin De Bruyne,Right Defensive Midfield,2.601147,3788768,3089,,,,,Complete,4831,Nacer Chadli,Ground Pass,Right Foot,92.2,5.0,117.0,19.7
c52119b9-0fd3-4712-a08e-5a9f4d8c54b1,2419,2,52,,84,Regular Play,Belgium,Nacer Chadli,Left Wing Back,1.698018,3788768,4831,True,,,,Incomplete,3289,Romelu Lukaku Menama,High Pass,Left Foot,117.91871,20.759937,115.8,46.8
b3c2ec8d-7c01-4dec-b6f0-c281e46b63ac,2422,2,52,Corner,85,From Corner,Belgium,Eden Hazard,Left Attacking Midfield,2.585201,3788768,3621,,,,,Incomplete,,,High Pass,Right Foot,120.0,80.0,112.8,43.4
0647165a-4bd1-4d98-bc94-c220f95d5c9f,2427,2,52,,85,From Corner,Belgium,Leandro Trossard,Right Wing Back,1.41788,3788768,16559,,,,,Complete,23650,Jeremy Doku,Ground Pass,Right Foot,67.45704,60.619846,89.8,61.8
ce2b9a99-ab73-4032-9ebf-a31ee1e50a70,2429,2,52,,85,From Corner,Belgium,Jeremy Doku,Right Attacking Midfield,1.545331,3788768,23650,,,,,Complete,3621,Eden Hazard,Ground Pass,Right Foot,90.20044,60.18659,98.1,76.4
ce5e200f-0cca-4899-bfba-beae2aff4506,2435,2,53,Goal Kick,86,From Goal Kick,Finland,"Daniel O""Shaughnessy",Left Center Back,2.013117,3788768,38196,,True,,,Complete,8667,Lukáš Hrádecký,Ground Pass,Left Foot,7.0,36.1,6.7,42.6
dcdd84e8-ae3f-49c8-a664-655aaf359c70,2437,2,53,,86,From Goal Kick,Finland,Lukáš Hrádecký,Goalkeeper,1.459549,3788768,8667,,,,,Complete,13215,Glen Kamara,Ground Pass,Right Foot,10.1,45.1,34.7,41.3
77362051-cf0f-4809-be04-14a148374acd,2444,2,53,,86,From Goal Kick,Finland,Glen Kamara,Left Center Midfield,1.509056,3788768,13215,,,,,Complete,24321,Robin Lod,Ground Pass,Right Foot,59.105427,56.205673,59.4,77.4
cb98b193-6cc9-44dd-ab68-4f12c157f361,2447,2,53,,86,From Goal Kick,Finland,Robin Lod,Right Center Midfield,0.872862,3788768,24321,,,,,Complete,13215,Glen Kamara,Ground Pass,Left Foot,63.0,77.5,63.0,65.9
