id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,duration,match_id,possession_team_id,player_id,under_pressure,off_camera,counterpress,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
182fd0a9-d189-47e3-841f-8f08b258598f,95,1,00:01:22.331,1,22,,7,Italy,From Keeper,Italy,Nicolò Barella,Right Center Midfield,0.899918,3795107,914,8181,,,,Complete,7024.0,Jorge Luiz Frello Filho,Ground Pass,Right Foot,63.1,66.5,65.1,48.7
a58dd4af-9045-4854-ab41-fa05f86c3db2,97,1,00:01:23.231,1,23,,7,Italy,From Keeper,Italy,Jorge Luiz Frello Filho,Center Defensive Midfield,3.702481,3795107,914,7024,,,,Complete,7156.0,Federico Chiesa,High Pass,Right Foot,65.1,48.7,113.8,67.1
6613dbf6-3088-4829-b39f-4b487ca5d3d7,106,1,00:01:52.355,1,52,Free Kick,8,Belgium,From Free Kick,Belgium,Thibaut Courtois,Goalkeeper,6.421404,3795107,782,3509,,True,,Incomplete,3289.0,Romelu Lukaku Menama,High Pass,Right Foot,9.3,25.6,105.7,14.9
652ff2f4-a8e2-4370-a386-08402fceae45,109,1,00:01:58.777,1,58,Recovery,8,Belgium,From Free Kick,Italy,Giorgio Chiellini,Left Center Back,2.073168,3795107,782,6954,True,,,Complete,7036.0,Gianluigi Donnarumma,High Pass,Left Foot,14.4,65.2,1.3,56.2
f3e5837c-11b3-4d30-9a1b-0d18802e29f2,112,1,00:02:00.890,2,0,,8,Belgium,From Free Kick,Italy,Gianluigi Donnarumma,Goalkeeper,1.618247,3795107,782,7036,,,,Out,,,High Pass,Right Foot,1.8,56.2,0.3,74.6
2385e7b3-ff59-49d7-8103-be84ba401d22,113,1,00:02:33.498,2,33,Corner,9,Belgium,From Corner,Belgium,Kevin De Bruyne,Right Attacking Midfield,1.25936,3795107,782,3089,,,,Complete,20005.0,Toby Alderweireld,High Pass,Right Foot,120.0,0.1,117.5,33.1
191809a2-1cfc-4906-a9a1-961aba3390ea,119,1,00:02:56.564,2,56,Throw-in,10,Belgium,From Throw In,Belgium,Thorgan Hazard,Left Wing Back,3.049147,3795107,782,5632,,,,Complete,3077.0,Jan Vertonghen,Low Pass,,98.2,0.1,62.5,2.7
489dbccb-525a-4266-bb71-b62119d7cb05,122,1,00:03:00.612,3,0,,10,Belgium,From Throw In,Belgium,Jan Vertonghen,Left Center Back,1.159693,3795107,782,3077,,,,Complete,6332.0,Thomas Vermaelen,Ground Pass,Right Foot,57.8,3.8,50.5,16.4
ccc729b2-e983-4727-b936-06472cb4ab3a,125,1,00:03:02.932,3,2,,10,Belgium,From Throw In,Belgium,Thomas Vermaelen,Center Back,1.993702,3795107,782,6332,,,,Complete,20005.0,Toby Alderweireld,Ground Pass,Left Foot,47.8,18.5,36.2,42.3
ef5a8ada-f853-417a-8dcc-90db184b0551,128,1,00:03:05.938,3,5,,10,Belgium,From Throw In,Belgium,Toby Alderweireld,Right Center Back,1.316003,3795107,782,20005,,,,Complete,3176.0,Thomas Meunier,Ground Pass,Right Foot,31.3,51.1,42.2,69.9
c0369ece-b61d-40f1-b0e4-1d702e777449,131,1,00:03:08.358,3,8,,10,Belgium,From Throw In,Belgium,Thomas Meunier,Right Wing Back,2.436999,3795107,782,3176,,,,Complete,3077.0,Jan Vertonghen,Ground Pass,Right Foot,41.8,60.3,30.0,12.6
e0d8f5fe-770d-404f-badb-45377c772f8f,135,1,00:03:13.925,3,13,,10,Belgium,From Throw In,Belgium,Jan Vertonghen,Left Center Back,1.106624,3795107,782,3077,,,,Complete,5632.0,Thorgan Hazard,Ground Pass,Left Foot,25.1,2.9,32.8,4.9
d00105f5-c839-4d10-bfba-48943271d6b1,138,1,00:03:16.267,3,16,,10,Belgium,From Throw In,Belgium,Thorgan Hazard,Left Wing Back,0.896767,3795107,782,5632,,,,Complete,3089.0,Kevin De Bruyne,Ground Pass,Right Foot,36.0,7.2,58.0,8.3
e1699f90-78fb-49f0-b911-fe17dc11c37c,141,1,00:03:17.204,3,17,,10,Belgium,From Throw In,Belgium,Kevin De Bruyne,Right Attacking Midfield,0.719827,3795107,782,3089,,,,Complete,23650.0,Jeremy Doku,Ground Pass,Right Foot,58.0,8.3,55.2,2.7
d540115f-5e99-4d4c-8131-ebef1e1f7729,159,1,00:03:26.444,3,26,Recovery,11,Italy,Regular Play,Italy,Leonardo Bonucci,Right Center Back,1.08555,3795107,914,7173,,,,Complete,3166.0,Marco Verratti,Ground Pass,Left Foot,26.1,74.0,29.6,77.0
711c38b2-156c-4cd0-9af1-85b01f458b27,162,1,00:03:27.918,3,27,,11,Italy,Regular Play,Italy,Marco Verratti,Left Center Midfield,1.250441,3795107,914,3166,,,,Complete,7156.0,Federico Chiesa,Ground Pass,Right Foot,30.2,75.7,48.6,77.6
0259d60d-aacf-412d-b402-ac40578a9e55,168,1,00:03:39.650,3,39,Throw-in,12,Belgium,From Throw In,Belgium,Jan Vertonghen,Left Center Back,1.248813,3795107,782,3077,,True,,Complete,6332.0,Thomas Vermaelen,Low Pass,,70.0,0.1,46.3,10.4
46adf623-a524-416f-9a3f-8f64ecec5f69,170,1,00:03:42.304,3,42,,12,Belgium,From Throw In,Belgium,Thomas Vermaelen,Center Back,1.496747,3795107,782,6332,,,,Complete,20005.0,Toby Alderweireld,Ground Pass,Left Foot,45.0,13.0,42.2,38.9
fc8c1a22-8145-4c51-b84c-3ddfcca155a1,173,1,00:03:48.082,3,48,,12,Belgium,From Throw In,Belgium,Toby Alderweireld,Right Center Back,2.317433,3795107,782,20005,,,,Pass Offside,3289.0,Romelu Lukaku Menama,High Pass,Right Foot,49.3,50.8,102.7,42.7
f0f2fafe-de7a-4704-9142-c62cc998b536,175,1,00:04:11.760,4,11,Free Kick,13,Italy,From Free Kick,Italy,Gianluigi Donnarumma,Goalkeeper,1.568949,3795107,914,7036,,True,,Complete,6954.0,Giorgio Chiellini,Ground Pass,Right Foot,6.0,39.3,21.0,25.4
261f9e9c-4583-4ffc-bf84-91990c3de2c7,177,1,00:04:13.633,4,13,,13,Italy,From Free Kick,Italy,Giorgio Chiellini,Left Center Back,1.132224,3795107,914,6954,,,,Complete,7173.0,Leonardo Bonucci,Ground Pass,Left Foot,24.2,25.6,26.4,43.8
fa842f66-d0a4-4fb4-9457-078d1c0b439e,180,1,00:04:17.955,4,17,,13,Italy,From Free Kick,Italy,Leonardo Bonucci,Right Center Back,0.986743,3795107,914,7173,,,,Complete,8181.0,Nicolò Barella,Ground Pass,Left Foot,31.1,42.9,41.5,50.4
4fd21717-4c4c-41c9-a47c-0d485a93b33c,183,1,00:04:19.270,4,19,,13,Italy,From Free Kick,Italy,Nicolò Barella,Right Center Midfield,0.73774,3795107,914,8181,,,,Complete,7024.0,Jorge Luiz Frello Filho,Ground Pass,Right Foot,41.8,50.0,42.8,43.2
f1c6ad64-130f-480e-994e-bc4511240de2,186,1,00:04:20.048,4,20,,13,Italy,From Free Kick,Italy,Jorge Luiz Frello Filho,Center Defensive Midfield,1.795859,3795107,914,7024,,,,Complete,11514.0,Giovanni Di Lorenzo,Low Pass,Right Foot,42.8,43.2,37.7,75.2
dc2c4341-dfb4-444e-82b8-1a34733146a4,189,1,00:04:24.313,4,24,,13,Italy,From Free Kick,Italy,Giovanni Di Lorenzo,Right Back,1.541942,3795107,914,11514,,,,Complete,7173.0,Leonardo Bonucci,Ground Pass,Right Foot,42.6,76.1,27.8,61.3
b68e4f90-99e0-4351-b17a-3819d514ad3f,192,1,00:04:27.709,4,27,,13,Italy,From Free Kick,Italy,Leonardo Bonucci,Right Center Back,1.928915,3795107,914,7173,,,,Complete,6954.0,Giorgio Chiellini,Ground Pass,Right Foot,31.3,60.1,42.4,26.5
d95e1c2c-3ed6-4e13-96b9-3a57247b1d53,195,1,00:04:29.678,4,29,,13,Italy,From Free Kick,Italy,Giorgio Chiellini,Left Center Back,1.520803,3795107,914,6954,,,,Complete,8286.0,Leonardo Spinazzola,Ground Pass,Right Foot,42.8,26.5,57.2,6.6
86613b0e-1d8f-4251-b633-6d23401c8c22,198,1,00:04:36.572,4,36,,13,Italy,From Free Kick,Italy,Leonardo Spinazzola,Left Back,1.548066,3795107,914,8286,,,,Complete,6954.0,Giorgio Chiellini,Ground Pass,Right Foot,78.1,8.9,64.9,17.5
0e059c72-6f8f-4e84-bc9b-71eabbb1a8ef,201,1,00:04:38.160,4,38,,13,Italy,From Free Kick,Italy,Giorgio Chiellini,Left Center Back,2.053944,3795107,914,6954,,,,Complete,7173.0,Leonardo Bonucci,Ground Pass,Left Foot,64.9,17.5,55.9,41.9
54f28744-6901-4bd8-a06f-0cda465c1774,204,1,00:04:41.638,4,41,,13,Italy,From Free Kick,Italy,Leonardo Bonucci,Right Center Back,1.769997,3795107,914,7173,,,,Complete,3166.0,Marco Verratti,Ground Pass,Right Foot,62.1,44.7,77.3,11.9
6ce6b8cf-3ec9-40dc-ab79-58faf94ad282,207,1,00:04:47.125,4,47,,13,Italy,From Free Kick,Italy,Marco Verratti,Left Center Midfield,0.753098,3795107,914,3166,,,,Complete,7037.0,Lorenzo Insigne,Ground Pass,Right Foot,89.9,11.1,92.4,5.5
5a5726df-7f32-40f4-a665-fc04616038a3,210,1,00:04:50.343,4,50,,13,Italy,From Free Kick,Italy,Lorenzo Insigne,Left Wing,2.819046,3795107,914,7037,,,,Complete,7156.0,Federico Chiesa,High Pass,Right Foot,86.9,16.2,116.2,59.4
9c15cc1a-5a1a-49c7-938f-baa0c7edcf81,212,1,00:04:53.162,4,53,,13,Italy,From Free Kick,Italy,Federico Chiesa,Right Wing,1.220039,3795107,914,7156,,,,Incomplete,7788.0,Ciro Immobile,Low Pass,Right Foot,116.2,59.4,116.2,46.2
46001ed8-9faa-446a-a5f7-493e6fbf1e13,215,1,00:04:57.309,4,57,,14,Belgium,Regular Play,Belgium,Thibaut Courtois,Goalkeeper,1.486154,3795107,782,3509,,True,,Complete,5632.0,Thorgan Hazard,Ground Pass,Keeper Arm,8.4,34.4,31.1,5.5
d9c08dc3-1d44-4b8a-9ed6-5b33d882fcf0,217,1,00:05:03.216,5,3,,14,Belgium,Regular Play,Belgium,Thorgan Hazard,Left Wing Back,0.720697,3795107,782,5632,,,,Complete,5642.0,Axel Witsel,Ground Pass,Right Foot,50.3,2.9,50.3,7.4
3e9f6437-4e78-4b05-9440-1aeca581c094,220,1,00:05:05.008,5,5,,14,Belgium,Regular Play,Belgium,Axel Witsel,Left Defensive Midfield,1.169337,3795107,782,5642,,,,Complete,2954.0,Youri Tielemans,Ground Pass,Right Foot,55.9,8.3,55.7,13.6
a23300c0-a3de-42f9-80b5-c82d1be4aad3,223,1,00:05:07.709,5,7,,14,Belgium,Regular Play,Belgium,Youri Tielemans,Right Defensive Midfield,1.471365,3795107,782,2954,,,,Complete,6332.0,Thomas Vermaelen,Ground Pass,Right Foot,49.9,13.6,39.6,27.1
579bc16f-d58b-4248-86b4-65c423c01876,226,1,00:05:10.842,5,10,,14,Belgium,Regular Play,Belgium,Thomas Vermaelen,Center Back,1.077721,3795107,782,6332,,,,Complete,3077.0,Jan Vertonghen,Ground Pass,Left Foot,41.1,25.0,41.1,9.1
1825827f-f698-49a4-8ec5-d6c977a63563,229,1,00:05:13.772,5,13,,14,Belgium,Regular Play,Belgium,Jan Vertonghen,Left Center Back,0.940591,3795107,782,3077,,,,Complete,5632.0,Thorgan Hazard,Ground Pass,Right Foot,41.1,6.4,56.7,1.9
7c0a2821-1623-47ad-b1f5-569877561503,232,1,00:05:15.024,5,15,,14,Belgium,Regular Play,Belgium,Thorgan Hazard,Left Wing Back,1.56353,3795107,782,5632,,,,Complete,3077.0,Jan Vertonghen,Ground Pass,Left Foot,58.0,3.1,43.1,3.4
de3962ad-b3c7-4c94-96c4-61c7a4a627ba,235,1,00:05:20.523,5,20,,14,Belgium,Regular Play,Belgium,Jan Vertonghen,Left Center Back,1.084052,3795107,782,3077,,,,Complete,23650.0,Jeremy Doku,Ground Pass,Left Foot,50.8,2.9,63.4,6.6
69638c5e-1fd0-42f2-bba7-039305de585f,239,1,00:05:23.224,5,23,,14,Belgium,Regular Play,Belgium,Jeremy Doku,Left Attacking Midfield,0.495287,3795107,782,23650,True,,,Complete,5632.0,Thorgan Hazard,Ground Pass,Right Foot,70.4,8.1,69.4,1.9
c414ada3-de9f-41f7-9e93-ade1ecae839b,242,1,00:05:25.166,5,25,,14,Belgium,Regular Play,Belgium,Thorgan Hazard,Left Wing Back,1.09753,3795107,782,5632,,,,Complete,3077.0,Jan Vertonghen,Ground Pass,Right Foot,66.6,3.8,49.5,3.4
f3dcda3c-797b-49d9-8c41-85ef77ec69c1,245,1,00:05:26.974,5,26,,14,Belgium,Regular Play,Belgium,Jan Vertonghen,Left Center Back,1.28841,3795107,782,3077,,,,Complete,6332.0,Thomas Vermaelen,Ground Pass,Left Foot,49.9,5.5,41.1,30.3
ebb7906d-ac3b-4259-8eec-627ebaafe9c0,248,1,00:05:29.240,5,29,,14,Belgium,Regular Play,Belgium,Thomas Vermaelen,Center Back,1.183984,3795107,782,6332,,,,Complete,3077.0,Jan Vertonghen,Ground Pass,Left Foot,42.2,31.8,47.5,6.4
05397595-ec3e-4cd9-bd64-8868ea9db56c,251,1,00:05:31.517,5,31,,14,Belgium,Regular Play,Belgium,Jan Vertonghen,Left Center Back,0.944157,3795107,782,3077,,,,Complete,5632.0,Thorgan Hazard,Ground Pass,Right Foot,50.3,5.3,64.0,1.4
7e064e6f-427b-4f9e-98f6-eab9126a8cc5,254,1,00:05:32.506,5,32,,14,Belgium,Regular Play,Belgium,Thorgan Hazard,Left Wing Back,1.496435,3795107,782,5632,,,,Complete,23650.0,Jeremy Doku,Ground Pass,Right Foot,64.0,1.4,77.5,2.9
6fde98c6-9e66-4527-b2f4-78b5615ad1fb,258,1,00:05:38.205,5,38,,14,Belgium,Regular Play,Belgium,Jeremy Doku,Left Attacking Midfield,1.337236,3795107,782,23650,,,,Incomplete,3289.0,Romelu Lukaku Menama,Ground Pass,Left Foot,108.9,18.1,117.1,38.0
c40770e2-502e-49d2-a956-792e8ed2fb9e,262,1,00:05:46.845,5,46,,15,Italy,Regular Play,Italy,Gianluigi Donnarumma,Goalkeeper,1.14922,3795107,914,7036,,,,Complete,7173.0,Leonardo Bonucci,Ground Pass,Keeper Arm,8.2,44.7,11.0,51.3
3ee6e74a-148d-4b6b-8424-3f351e11147a,265,1,00:05:51.594,5,51,,15,Italy,Regular Play,Italy,Leonardo Bonucci,Right Center Back,2.616887,3795107,914,7173,,,,Complete,8286.0,Leonardo Spinazzola,High Pass,Right Foot,15.0,53.0,33.8,5.7
4a0dcba3-d415-468d-8e07-b21e080b1126,268,1,00:05:55.513,5,55,,15,Italy,Regular Play,Italy,Leonardo Spinazzola,Left Back,1.379873,3795107,914,8286,,,,Complete,3166.0,Marco Verratti,Ground Pass,Left Foot,35.5,7.4,42.2,17.3
cf3296ce-e83d-4837-9f54-1576fb29a0ba,271,1,00:05:58.145,5,58,,15,Italy,Regular Play,Italy,Marco Verratti,Left Center Midfield,1.135471,3795107,914,3166,,,,Complete,7037.0,Lorenzo Insigne,Ground Pass,Right Foot,48.0,15.8,56.7,12.4
b77e1c22-2005-46c2-aa39-7383acbee760,274,1,00:05:59.736,5,59,,15,Italy,Regular Play,Italy,Lorenzo Insigne,Left Wing,4.050281,3795107,914,7037,,,,Incomplete,7788.0,Ciro Immobile,High Pass,Right Foot,56.1,13.9,106.8,11.9
51c537dc-d6a2-42bd-806f-811fea02c05a,277,1,00:06:03.786,6,3,Interception,15,Italy,Regular Play,Belgium,Thomas Vermaelen,Center Back,1.433468,3795107,914,6332,,,,Complete,3509.0,Thibaut Courtois,Ground Pass,Left Foot,13.3,68.2,1.8,46.1
7b405e2c-7e4f-49ab-8907-e835af44b892,281,1,00:06:07.211,6,7,,15,Italy,Regular Play,Belgium,Thibaut Courtois,Goalkeeper,3.132559,3795107,914,3509,,,,Incomplete,3289.0,Romelu Lukaku Menama,High Pass,Left Foot,3.9,42.1,73.0,53.6
160e906a-0d3c-46a8-98b9-a7ba39104677,283,1,00:06:10.343,6,10,Recovery,15,Italy,Regular Play,Italy,Giorgio Chiellini,Left Center Back,2.615413,3795107,914,6954,,,,Complete,7036.0,Gianluigi Donnarumma,Low Pass,Head,47.1,26.5,14.8,35.9
249d16ae-7b4c-48c0-8bfb-21ce02f3030b,286,1,00:06:14.232,6,14,,15,Italy,Regular Play,Italy,Gianluigi Donnarumma,Goalkeeper,1.649446,3795107,914,7036,,,,Complete,7173.0,Leonardo Bonucci,Ground Pass,Right Foot,17.2,36.7,29.1,45.5
254c810a-84ee-49cc-8a80-a5e6c9090210,289,1,00:06:19.035,6,19,,15,Italy,Regular Play,Italy,Leonardo Bonucci,Right Center Back,2.167871,3795107,914,7173,,,,Complete,11514.0,Giovanni Di Lorenzo,Low Pass,Left Foot,32.3,44.9,55.4,75.5
67545241-5935-416c-8233-57ac91677383,292,1,00:06:25.205,6,25,,15,Italy,Regular Play,Italy,Giovanni Di Lorenzo,Right Back,0.746706,3795107,914,11514,,,,Complete,8181.0,Nicolò Barella,Ground Pass,Right Foot,69.3,76.7,80.3,77.2
f40a9a26-1f82-4fc2-b8cd-9f7af95330e7,295,1,00:06:26.965,6,26,,15,Italy,Regular Play,Italy,Nicolò Barella,Right Center Midfield,0.879105,3795107,914,8181,,,,Complete,7156.0,Federico Chiesa,Ground Pass,Right Foot,83.7,77.2,90.7,79.3
c295bd67-dc4f-4a77-baf2-607199de1129,299,1,00:06:27.846,6,27,,15,Italy,Regular Play,Italy,Federico Chiesa,Right Wing,0.079248,3795107,914,7156,True,,,Incomplete,8181.0,Nicolò Barella,Ground Pass,Right Foot,89.5,78.5,91.4,77.4
c7f14d67-7b5f-4ef1-9533-79bd05df38ed,302,1,00:06:37.596,6,37,Throw-in,16,Italy,From Throw In,Italy,Giovanni Di Lorenzo,Right Back,2.33271,3795107,914,11514,,True,,Complete,7173.0,Leonardo Bonucci,Low Pass,,89.0,80.0,51.2,75.5
a1ce19c8-ca23-457e-88ef-eb3a6df8b51e,304,1,00:06:42.197,6,42,,16,Italy,From Throw In,Italy,Leonardo Bonucci,Right Center Back,3.393747,3795107,914,7173,,,,Complete,8286.0,Leonardo Spinazzola,Ground Pass,Right Foot,56.1,72.9,51.2,5.1
fb4264dc-3975-4b84-80aa-5f52d1a26ec1,307,1,00:06:47.750,6,47,,16,Italy,From Throw In,Italy,Leonardo Spinazzola,Left Back,1.932725,3795107,914,8286,,,,Complete,6954.0,Giorgio Chiellini,Ground Pass,Right Foot,41.3,7.7,41.8,25.8
