id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,off_camera,under_pressure,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y,passing_accuracy
df966ec5-0a26-4dc4-a035-bfd626e47ec0,1026,1,00:22:18.074,22,,42,From Throw In,Italy,Giorgio Chiellini,Left Center Back,2.168677,3795220,6954,,,,0.977739844154646,Complete,7173,Leonardo Bonucci,Ground Pass,Left Foot,14.37039,33.145954,15.7,65.6,0.85 (50/59)
af0dc2df-eb29-4cca-ab14-0b0a9707deff,1029,1,00:22:22.286,22,,42,From Throw In,Italy,Leonardo Bonucci,Right Center Back,2.785454,3795220,7173,,,,0.892434981847119,Complete,4355,Emerson Palmieri dos Santos,High Pass,Right Foot,17.32934,61.65149,28.5,8.5,0.71 (37/52)
0a138842-60a2-4da6-8c69-4456a47a706f,1032,1,00:22:26.708,22,,42,From Throw In,Italy,Emerson Palmieri dos Santos,Left Back,0.962048,3795220,4355,,,,0.9686007716196616,Complete,3166,Marco Verratti,Ground Pass,Left Foot,29.23066,6.632545,35.1,18.8,0.84 (27/32)
7b44ba36-9f07-4e09-b87b-f0b9504da313,1035,1,00:22:29.775,22,,42,From Throw In,Italy,Marco Verratti,Left Center Midfield,1.116011,3795220,3166,,,,0.941763391556076,Complete,4355,Emerson Palmieri dos Santos,Ground Pass,Right Foot,45.185814,10.73421,50.7,6.4,0.81 (25/31)
2209886d-4ea6-46dd-99e5-843825769f7e,1038,1,00:22:32.762,22,,42,From Throw In,Italy,Emerson Palmieri dos Santos,Left Back,1.519152,3795220,4355,,,,0.9942538129020101,Complete,6954,Giorgio Chiellini,Ground Pass,Left Foot,53.5,6.8,45.2,22.6,0.84 (27/32)
3187034b-3c0e-49b6-926d-512f5d19e4e0,1041,1,00:22:36.825,22,,42,From Throw In,Italy,Giorgio Chiellini,Left Center Back,3.099254,3795220,6954,,,,0.8455415177644455,Out,7156,Federico Chiesa,High Pass,Left Foot,52.417915,26.877598,77.5,80.0,0.85 (50/59)
e0f6b979-d4ed-48ed-9b80-fcb85ee53d74,1043,1,00:22:56.113,22,Throw-in,43,From Throw In,Spain,Jordi Alba Ramos,Left Back,1.396699,3795220,5211,,,,0.9396161677577676,Complete,6748,Ferrán Torres García,Low Pass,,45.53242,1.1010212,51.4,7.4,0.8 (85/106)
f34ceba5-04df-49bd-85f3-3dcb6bdc8290,1054,1,00:23:02.688,23,,44,Regular Play,Italy,Nicolò Barella,Right Center Midfield,0.910041,3795220,8181,,,,0.997888787752248,Complete,3166,Marco Verratti,Ground Pass,Right Foot,69.39469,53.165054,68.3,40.8,0.68 (13/19)
12666084-b4e2-4a3b-9bca-85890d9ad32d,1057,1,00:23:04.073,23,,44,Regular Play,Italy,Marco Verratti,Left Center Midfield,0.754798,3795220,3166,,,,0.9613704105023972,Complete,7037,Lorenzo Insigne,Ground Pass,Right Foot,68.53951,39.051975,77.0,34.0,0.81 (25/31)
654100d2-70fa-423f-989e-ed8cde5e1e9c,1061,1,00:23:05.224,23,,44,Regular Play,Italy,Lorenzo Insigne,Left Wing,2.203512,3795220,7037,,True,,0.42792162720253657,Incomplete,7788,Ciro Immobile,Low Pass,Right Foot,76.98704,32.16653,91.6,32.3,0.72 (23/32)
038e9a3a-d989-44ba-a6fc-e9b6be67d1f6,1066,1,00:23:08.339,23,,45,Regular Play,Spain,Sergio Busquets i Burgos,Center Defensive Midfield,0.787778,3795220,5203,,,,0.9769145217532208,Complete,16532,Daniel Olmo Carvajal,Ground Pass,Left Foot,32.18115,41.410378,44.3,33.1,0.93 (68/73)
f0858ec0-8ed3-493f-8ba1-be09db15a62b,1068,1,00:23:09.127,23,,45,Regular Play,Spain,Daniel Olmo Carvajal,Center Forward,1.008099,3795220,16532,,,,0.9956779356606209,Complete,30486,Pedro González López,Ground Pass,Right Foot,46.04819,40.8105,37.7,28.6,0.61 (30/49)
