id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
413226a1-33e2-4eaa-8fd6-d064ef2144ea,161,1,00:04:25.270,4,Throw-in,10,From Throw In,Wales,Neco Williams,Left Wing Back,0.83617,3788766,34794,,,0.9877594487079876,Complete,10931,Joe Allen,Low Pass,,41.35488,-0.934555,38.1,6.3
a4a6559e-75b9-4706-8f80-262fed3dc43f,163,1,00:04:26.106,4,,10,From Throw In,Wales,Joe Allen,Left Defensive Midfield,0.726333,3788766,10931,,,0.6557883220566619,Complete,34794,Neco Williams,Low Pass,Right Foot,37.91433,7.6633,43.2,3.8
7f9eb602-ebd2-4284-8414-9353e055bd1d,167,1,00:04:27.997,4,,10,From Throw In,Wales,Neco Williams,Left Wing Back,0.123206,3788766,34794,True,,0.005724909006765243,Incomplete,,,Ground Pass,Left Foot,48.62686,2.3077,51.6,3.8
447d749f-58a0-4dca-8023-79bc6ed5330e,170,1,00:04:30.905,4,Recovery,10,From Throw In,Wales,Joe Allen,Left Defensive Midfield,2.950856,3788766,10931,,,0.9732821918678154,Complete,4934,Ethan Ampadu,Ground Pass,Right Foot,38.2982,7.87737,15.7,40.5
98007aa9-93fa-4fbb-a18c-29ceb93f9085,173,1,00:04:33.908,4,,10,From Throw In,Wales,Ethan Ampadu,Center Back,1.246536,3788766,4934,,,0.963555656941506,Complete,11250,Joe Rodon,Ground Pass,Right Foot,17.2468,39.07825,26.6,60.0
2d68c302-2cee-422d-a02d-c3c467b0d597,177,1,00:04:37.395,4,,10,From Throw In,Wales,Joe Rodon,Right Center Back,1.637848,3788766,11250,True,,0.9815303674752582,Complete,9914,Danny Ward,Ground Pass,Right Foot,23.41774,64.79346,8.1,48.4
e491ca6e-2a2f-4d45-b8b2-21a8f778beb2,180,1,00:04:40.879,4,,10,From Throw In,Wales,Danny Ward,Goalkeeper,2.539924,3788766,9914,,,0.3466857010781849,Out,4774,Connor Roberts,High Pass,Right Foot,5.79576,50.731735,57.2,80.0
42bf15d0-4f9a-4824-ba61-cdec6c44384a,182,1,00:04:50.804,4,Throw-in,11,From Throw In,Italy,Emerson Palmieri dos Santos,Left Back,2.648089,3788766,4355,,True,0.973075516687362,Complete,7480,Alessandro Bastoni,Low Pass,,65.1,0.1,42.5,8.6
cc89c8c0-0e28-4347-aa84-bb5feea14812,184,1,00:04:54.306,4,,11,From Throw In,Italy,Alessandro Bastoni,Left Center Back,1.261362,3788766,7480,,,0.9891592802831408,Complete,7173,Leonardo Bonucci,Ground Pass,Right Foot,39.00197,18.764374,42.7,24.8
2b40e0d1-22d0-480f-8e76-6efde2c1a508,187,1,00:04:57.841,4,,11,From Throw In,Italy,Leonardo Bonucci,Right Center Back,2.073268,3788766,7173,,,0.9782371639347544,Complete,7002,Rafael Tolói,Ground Pass,Left Foot,48.03486,38.967773,59.4,66.9
31073ecc-912c-473f-8891-519a2b02a144,190,1,00:05:00.891,5,,11,From Throw In,Italy,Rafael Tolói,Right Back,2.294891,3788766,7002,,,0.9900353266074132,Complete,7173,Leonardo Bonucci,Ground Pass,Right Foot,63.5,67.4,48.3,52.1
