id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y,passing_accuracy
79bd729b-a6bb-44ed-9382-59b40a3c418a,798,1,00:20:42.229,20,,43,From Free Kick,Hungary,Willi Orban,Center Back,1.403576,3788752,8509,True,,,0.9204374987695968,Complete,42822,András Schäfer,Ground Pass,Right Foot,34.699398,37.752377,56.0,19.6,0.78 (21/27)
a9006679-d3ea-4fed-8a1b-41699badbb5f,802,1,00:20:44.983,20,,43,From Free Kick,Hungary,András Schäfer,Left Center Midfield,0.785128,3788752,42822,True,,,0.9879241650265356,Complete,11268,Attila Fiola,Ground Pass,Right Foot,55.32949,13.092587,53.0,4.4,0.94 (17/18)
65ca66fd-0ff3-4d4f-ac5a-e342ecbfcf7f,805,1,00:20:45.808,20,,43,From Free Kick,Hungary,Attila Fiola,Left Wing Back,1.181932,3788752,11268,,,,0.962633349319328,Complete,8407,Ádám Szalai,Ground Pass,Right Foot,52.63273,3.5247943,63.0,20.7,0.79 (26/33)
80524c2c-bda7-425a-b9c5-d502df3ac393,809,1,00:20:48.083,20,,43,From Free Kick,Hungary,Ádám Szalai,Left Center Forward,3.008726,3788752,8407,True,,,0.6522820519657914,Complete,10794,Gergő Lovrencsics,High Pass,Left Foot,62.57929,22.047087,75.6,73.5,0.65 (11/17)
2b002d04-4873-46b8-a92d-002fe742f89a,812,1,00:20:52.746,20,,43,From Free Kick,Hungary,Gergő Lovrencsics,Right Wing Back,1.400644,3788752,10794,,,,0.9103253784979344,Complete,31887,Endre Botka,Ground Pass,Right Foot,74.880325,72.93166,86.9,68.9,0.68 (26/38)
81e40134-a697-4078-b4d5-415be4f554fc,818,1,00:21:18.589,21,Throw-in,44,From Throw In,Portugal,Raphaël Adelino José Guerreiro,Left Back,1.325097,3788752,5209,,,,0.7170157400029091,Incomplete,9929,Diogo José Teixeira da Silva,High Pass,,31.9,0.1,54.6,9.3,0.86 (67/78)
0f0cf35e-c01a-4c3b-9a3a-ec4145d305ef,821,1,00:21:36.861,21,Throw-in,45,From Throw In,Portugal,Raphaël Adelino José Guerreiro,Left Back,1.105547,3788752,5209,,,,0.9764240364979312,Complete,5204,Bruno Miguel Borges Fernandes,Low Pass,,65.1,0.1,64.9,17.6,0.86 (67/78)
58822d65-12ad-4784-9960-e4a32fda5efd,824,1,00:21:39.015,21,,45,From Throw In,Portugal,Bruno Miguel Borges Fernandes,Center Attacking Midfield,2.215761,3788752,5204,,,,0.9909258241833024,Complete,20016,Kléper Laveran Lima Ferreira,Ground Pass,Right Foot,58.581257,14.45207,41.8,49.8,0.74 (29/39)
c3699bf9-75a7-446f-830a-693b3deb7e25,827,1,00:21:42.411,21,,45,From Throw In,Portugal,Kléper Laveran Lima Ferreira,Right Center Back,1.626956,3788752,20016,,,,0.9661081393900426,Complete,3193,Bernardo Mota Veiga de Carvalho e Silva,Ground Pass,Right Foot,44.84675,46.013004,57.5,64.4,0.94 (80/85)
3d0900c1-a955-4e32-ae52-3470ba4a50fd,830,1,00:21:45.958,21,,45,From Throw In,Portugal,Bernardo Mota Veiga de Carvalho e Silva,Right Wing,1.080259,3788752,3193,,,,0.9097816110236522,Complete,6374,Nélson Cabral Semedo,Ground Pass,Left Foot,65.59388,67.05823,77.9,76.5,0.82 (37/45)
e7a1d6ac-b54d-4ed3-9b2e-b130746a3cb6,833,1,00:21:47.590,21,,45,From Throw In,Portugal,Nélson Cabral Semedo,Right Back,2.329144,3788752,6374,,,,0.7945210160226305,Complete,5214,William Silva de Carvalho,Ground Pass,Right Foot,76.96402,77.007805,101.0,77.1,0.86 (79/92)
fa87653e-b5ef-4ca4-b03d-9f2e0144045f,837,1,00:21:53.474,21,,45,From Throw In,Portugal,William Silva de Carvalho,Left Center Midfield,0.00655,3788752,5214,,,,0.0012671694383169939,Incomplete,,,Low Pass,Right Foot,117.05832,72.67055,116.3,74.6,0.88 (58/66)
a62adf4a-25ca-4e75-8507-bf7fa57c701d,839,1,00:22:29.991,22,Corner,46,From Corner,Portugal,Bruno Miguel Borges Fernandes,Center Attacking Midfield,1.374184,3788752,5204,,,,0.4276868433630224,Incomplete,,,High Pass,Right Foot,119.016075,78.98999,112.8,47.1,0.74 (29/39)
4fd9791f-17ae-443a-9f44-7be19f64992d,842,1,00:22:33.980,22,Recovery,46,From Corner,Portugal,Danilo Luís Hélio Pereira,Right Center Midfield,0.098749,3788752,13621,True,,,0.0012253128244183932,Incomplete,,,Low Pass,,107.71603,49.36983,107.5,51.5,0.93 (62/67)
32d7f4b8-1ad5-4b74-a508-43740fc83a72,847,1,00:22:37.032,22,Recovery,46,From Corner,Hungary,Roland Sallai,Right Center Forward,1.132342,3788752,19316,True,,,0.8368626441399202,Incomplete,42822,András Schäfer,Low Pass,,23.573843,22.46346,27.4,30.0,0.57 (8/14)
77574167-d692-4f76-9ed7-7e960773bcc0,849,1,00:22:38.165,22,Recovery,46,From Corner,Portugal,Kléper Laveran Lima Ferreira,Right Center Back,1.702246,3788752,20016,,,,0.9554827364113558,Complete,3193,Bernardo Mota Veiga de Carvalho e Silva,Low Pass,Right Foot,91.933846,46.856083,75.9,60.9,0.94 (80/85)
e6a7cb59-643c-4c72-a035-f2648ca6729f,852,1,00:22:43.166,22,,46,From Corner,Portugal,Bernardo Mota Veiga de Carvalho e Silva,Right Wing,1.209557,3788752,3193,,,,0.9890356990359962,Complete,5214,William Silva de Carvalho,Ground Pass,Left Foot,72.8001,54.84901,67.9,41.8,0.82 (37/45)
36be3a04-436a-4d44-8549-301448496646,855,1,00:22:47.350,22,,46,From Corner,Portugal,William Silva de Carvalho,Left Center Midfield,1.522474,3788752,5214,,,,0.9781301799163544,Complete,6374,Nélson Cabral Semedo,Ground Pass,Right Foot,67.3,41.8,64.6,67.1,0.88 (58/66)
64d4700f-c84e-4522-be95-025e3a228768,858,1,00:22:49.645,22,,46,From Corner,Portugal,Nélson Cabral Semedo,Right Back,1.54937,3788752,6374,,,,0.9337785101186212,Complete,5204,Bruno Miguel Borges Fernandes,Ground Pass,Right Foot,65.7,66.6,82.8,74.6,0.86 (79/92)
103ed5e7-5df7-40e5-b043-b0d83c030d74,861,1,00:22:52.747,22,,46,From Corner,Portugal,Bruno Miguel Borges Fernandes,Center Attacking Midfield,0.842016,3788752,5204,,,,0.8172712167617764,Complete,3193,Bernardo Mota Veiga de Carvalho e Silva,Ground Pass,Right Foot,92.72116,77.95305,98.8,73.7,0.74 (29/39)
331dcb74-24db-4422-b970-0d6ce8f7e28b,865,1,00:22:55.391,22,,46,From Corner,Portugal,Bernardo Mota Veiga de Carvalho e Silva,Right Wing,0.444437,3788752,3193,,,,0.8208410084764627,Incomplete,5204,Bruno Miguel Borges Fernandes,Ground Pass,Left Foot,98.02702,77.82949,94.6,74.9,0.82 (37/45)
016c0552-edba-4036-b2b9-35c050b1800e,872,1,00:23:17.418,23,Free Kick,48,From Free Kick,Hungary,Attila Fiola,Left Wing Back,1.429352,3788752,11268,,True,,0.9959945040438496,Complete,46376,Attila Szalai,Ground Pass,Left Foot,37.3,5.8,22.0,11.3,0.79 (26/33)
005fbce1-624d-48ab-88c1-05305ad66077,874,1,00:23:20.088,23,,48,From Free Kick,Hungary,Attila Szalai,Left Center Back,1.875116,3788752,46376,,,,0.994252474999011,Complete,8524,Péter Gulácsi,Ground Pass,Left Foot,21.608807,15.37976,2.6,25.8,0.74 (40/54)
497c2e07-7dd7-4800-ba3a-51b686ec4186,877,1,00:23:23.546,23,,48,From Free Kick,Hungary,Péter Gulácsi,Goalkeeper,3.525434,3788752,8524,,,,0.17267198740242218,Incomplete,10794,Gergő Lovrencsics,High Pass,Right Foot,4.8017917,31.035671,50.0,63.4,0.87 (26/30)
6058e3f0-23ee-423c-b794-85ca994b1f0f,879,1,00:23:27.072,23,Recovery,49,Regular Play,Portugal,William Silva de Carvalho,Left Center Midfield,1.505209,3788752,5214,,,,0.881886391818006,Complete,5209,Raphaël Adelino José Guerreiro,Low Pass,Head,70.1,16.7,77.2,4.1,0.88 (58/66)
cde7ff5b-d938-4669-a0b8-dd50917c3841,882,1,00:23:30.884,23,,49,Regular Play,Portugal,Raphaël Adelino José Guerreiro,Left Back,1.51645,3788752,5209,,,,0.9941273408117102,Complete,5206,Rúben Santos Gato Alves Dias,Ground Pass,Left Foot,77.46487,4.244415,63.7,17.4,0.86 (67/78)
0b4d96bf-8e46-4d0c-bda4-8c56bd825349,885,1,00:23:33.944,23,,49,Regular Play,Portugal,Rúben Santos Gato Alves Dias,Left Center Back,1.420162,3788752,5206,,,,0.9961264530778264,Complete,20016,Kléper Laveran Lima Ferreira,Ground Pass,Right Foot,61.01955,22.313328,56.3,38.3,0.97 (89/92)
043dc884-ae9b-411f-9fbe-da0f245aee9f,888,1,00:23:37.364,23,,49,Regular Play,Portugal,Kléper Laveran Lima Ferreira,Right Center Back,1.01351,3788752,20016,,,,0.9871393288061924,Complete,5206,Rúben Santos Gato Alves Dias,Ground Pass,Right Foot,56.523457,37.17532,59.0,28.0,0.94 (80/85)
9d75905f-113b-49ea-a86a-f3cea017e825,891,1,00:23:39.310,23,,49,Regular Play,Portugal,Rúben Santos Gato Alves Dias,Left Center Back,1.162667,3788752,5206,,,,0.9635241383339004,Complete,5214,William Silva de Carvalho,Ground Pass,Right Foot,62.9,26.1,72.3,19.2,0.97 (89/92)
096d1ce7-3f6b-4141-9101-29688b321be0,894,1,00:23:42.484,23,,49,Regular Play,Portugal,William Silva de Carvalho,Left Center Midfield,0.870142,3788752,5214,,,,0.9040186173383866,Complete,9929,Diogo José Teixeira da Silva,Ground Pass,Right Foot,74.81486,11.133095,86.3,14.9,0.88 (58/66)
aebae13c-491c-4a75-9d0b-bbaa84d02390,905,1,00:24:11.196,24,Goal Kick,50,From Goal Kick,Hungary,Péter Gulácsi,Goalkeeper,4.089029,3788752,8524,,True,,0.9956631774940142,Complete,8509,Willi Orban,Ground Pass,Right Foot,6.0,36.0,3.8,29.7,0.87 (26/30)
ed82cc88-8617-4fba-a20c-0a8a0db2fe8b,907,1,00:24:18.778,24,,50,From Goal Kick,Hungary,Willi Orban,Center Back,1.112617,3788752,8509,,,,0.9302617404391073,Incomplete,8407,Ádám Szalai,Ground Pass,Right Foot,20.076372,27.644424,48.9,27.8,0.78 (21/27)
4dfeae1f-9330-4d84-8612-37a96c6b6829,912,1,00:24:23.075,24,,50,From Goal Kick,Hungary,Ádám Nagy,Center Defensive Midfield,1.410281,3788752,7162,,,,0.9928727134339608,Complete,46376,Attila Szalai,Ground Pass,Right Foot,35.851974,23.112457,28.5,12.1,0.83 (20/24)
