id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
1d140aac-4600-4161-95af-01f6aa7391c5,1548,1,39,,103,Regular Play,Germany,Joshua Kimmich,Right Wing Back,2.28617,3794688,5579,,,,,0.3030121867734284,Incomplete,5557,Timo Werner,High Pass,Left Foot,61.428352,72.71836,93.2,41.8
7ee57559-aee9-4cfd-99df-5ec7be1792e4,1550,1,39,Recovery,103,Regular Play,England,John Stones,Center Back,0.627601,3794688,3244,,,,,0.7163486792244952,Incomplete,3336,Harry Maguire,Low Pass,Head,27.84378,33.84274,32.0,30.0
15b9273a-adb9-4acf-a654-fd6b639ad152,1553,1,39,Recovery,104,Regular Play,England,Harry Maguire,Left Center Back,1.979454,3794688,3336,,,,,0.8123242677516644,Complete,4706,Kalvin Phillips,Low Pass,Head,19.96109,26.74694,29.8,29.6
9be0bdde-01ff-4a35-ae73-d6462f307266,1556,1,39,,104,Regular Play,England,Kalvin Phillips,Right Defensive Midfield,1.86184,3794688,4706,,,,,0.9876528151705072,Complete,3943,Declan Rice,Ground Pass,Right Foot,31.05795,23.953014,33.8,8.7
533deed5-f6cb-4d07-b81b-ece28442ad50,1559,1,39,,104,Regular Play,England,Declan Rice,Left Defensive Midfield,0.655598,3794688,3943,,,,,0.8405779019854873,Complete,3382,Luke Shaw,Ground Pass,Right Foot,34.56039,7.779816,39.6,5.6
5d9cae8c-337a-4cec-9f26-7bbe7a9adf58,1562,1,39,,104,Regular Play,England,Luke Shaw,Left Wing Back,0.928675,3794688,3382,,,,,0.9776997711957428,Complete,4706,Kalvin Phillips,Ground Pass,Left Foot,39.6062,1.64153,37.1,16.6
fff59ddd-ebc2-488b-a4f6-dec6fe3337bb,1565,1,39,,104,Regular Play,England,Kalvin Phillips,Right Defensive Midfield,0.836877,3794688,4706,,,,,0.994097117494732,Complete,3943,Declan Rice,Ground Pass,Right Foot,37.04462,18.55831,30.6,7.9
696c1120-581d-4c20-afd9-f89d839dbfc0,1569,1,39,,104,Regular Play,England,Declan Rice,Left Defensive Midfield,0.863448,3794688,3943,,,,,0.9920726546653612,Complete,3244,John Stones,Ground Pass,Right Foot,22.48329,30.399445,15.8,38.8
86243605-e731-42f1-a39b-44b5e23072e9,1572,1,39,,104,Regular Play,England,John Stones,Center Back,0.931049,3794688,3244,,,,,0.95156809003783,Complete,3943,Declan Rice,Ground Pass,Right Foot,15.84595,49.308678,23.0,42.4
915679bd-5239-48cc-bf6e-d469ddcc4435,1575,1,39,,104,Regular Play,England,Declan Rice,Left Defensive Midfield,1.408321,3794688,3943,,,,,0.8728277178177201,Complete,10955,Harry Kane,Ground Pass,Right Foot,27.523415,36.144466,51.6,26.2
dad87929-5eeb-4463-85f7-d91fb761485c,1583,1,39,,104,Regular Play,England,Harry Kane,Center Forward,3.82881,3794688,10955,True,,,,0.08272798234973386,Incomplete,4706,Kalvin Phillips,High Pass,Right Foot,51.615364,33.961113,104.1,38.2
35b52b20-4eaa-4c01-bd3b-113d98e72571,1587,1,40,,105,Regular Play,Germany,Manuel Neuer,Goalkeeper,1.769451,3794688,5570,,,,,0.9860312318375444,Complete,5572,Mats Hummels,Ground Pass,Keeper Arm,16.819288,45.6372,39.4,45.9
fb02b01b-53b9-4fca-9c4a-00a4acad4767,1591,1,40,,105,Regular Play,Germany,Mats Hummels,Center Back,1.987175,3794688,5572,True,,,,0.9922056644686,Complete,3167,Antonio Rüdiger,Ground Pass,Right Foot,40.253532,47.01042,23.5,24.3
ffe4d4d1-109c-4ba8-be4d-248529b7abb5,1593,1,40,,105,Regular Play,Germany,Antonio Rüdiger,Left Center Back,1.92911,3794688,3167,,,,,0.9203760319377212,Complete,6985,Robin Gosens,Ground Pass,Right Foot,26.077866,27.428219,44.2,5.4
8e0f981c-fc44-43d1-8da5-e730a6da7532,1597,1,40,,105,Regular Play,Germany,Robin Gosens,Left Wing Back,1.378766,3794688,6985,True,,,,0.9765150078625304,Complete,3167,Antonio Rüdiger,Ground Pass,Left Foot,38.853436,11.017059,14.2,15.8
