id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,off_camera,under_pressure,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
495198ec-b886-4641-a3c9-b9b5c49ddc2f,580,1,16,,31,From Free Kick,Croatia,Domagoj Vida,Left Center Back,0.971769,3788760,5468,,,,0.9963655836243523,Complete,33018,Joško Gvardiol,Ground Pass,Right Foot,82.99482,14.09248,82.0,6.1
4dd1c500-3a17-49dd-b5cc-297edf785a28,585,1,16,Throw-in,32,From Throw In,Croatia,Joško Gvardiol,Left Back,0.962522,3788760,33018,,,,0.8988194025475842,Complete,8946,Josip Brekalo,Low Pass,,81.5,0.1,87.5,4.1
a7709689-cc26-4b04-85d4-629c3511601d,588,1,16,,32,From Throw In,Croatia,Josip Brekalo,Left Wing,1.24608,3788760,8946,,,,0.9683754360502574,Complete,33018,Joško Gvardiol,Low Pass,Right Foot,88.20637,4.20497,76.2,3.9
e8bcf3a9-41b1-4aab-9d7a-7251af6a7ba3,591,1,16,,32,From Throw In,Croatia,Joško Gvardiol,Left Back,1.106649,3788760,33018,,,,0.9961100117872396,Complete,5456,Mateo Kovačić,Ground Pass,Left Foot,76.20303,5.166336,65.8,4.3
eeb6c21b-dc1f-4ac7-aae1-11ca3e2224e7,595,1,16,,32,From Throw In,Croatia,Mateo Kovačić,Left Center Midfield,1.712331,3788760,5456,,,,0.9806305238303302,Complete,3471,Dejan Lovren,Ground Pass,Right Foot,61.0526,5.393776,40.4,27.4
46e53d3d-4397-4c51-86bc-796756fccc64,599,1,16,,32,From Throw In,Croatia,Dejan Lovren,Right Center Back,2.132226,3788760,3471,,,,0.9899658197036773,Complete,16531,Dominik Livaković,Ground Pass,Right Foot,41.67383,36.874268,8.0,42.7
b498b8e7-d695-49ce-9043-eff8d51457cf,602,1,17,,32,From Throw In,Croatia,Dominik Livaković,Goalkeeper,1.593388,3788760,16531,,,,0.9745783308062488,Complete,5468,Domagoj Vida,Ground Pass,Right Foot,12.66807,42.294064,25.8,22.1
fbb8fba5-930c-441e-8a64-2508486575e7,605,1,17,,32,From Throw In,Croatia,Domagoj Vida,Left Center Back,1.017826,3788760,5468,,,,0.9635241383339004,Complete,5463,Luka Modrić,Ground Pass,Right Foot,27.729485,21.8322,38.4,16.6
a2cab876-9a4b-423f-9a96-3f4365a44c43,609,1,17,,32,From Throw In,Croatia,Luka Modrić,Right Center Midfield,0.391127,3788760,5463,,,,0.0858140317237934,Incomplete,8946,Josip Brekalo,Ground Pass,Right Foot,45.74208,1.295235,46.3,3.3
06267e44-1b9a-4da0-8ea8-0113dc83fbd4,612,1,17,Throw-in,33,From Throw In,Croatia,Joško Gvardiol,Left Back,1.107052,3788760,33018,,,,0.9609614486336318,Complete,5463,Luka Modrić,High Pass,,53.6,0.1,53.2,13.0
