id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,out,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
657202b4-b18b-4373-8d45-10d2d747bd3a,2219,2,00:13:10.418,58,Recovery,119,From Throw In,Denmark,Yussuf Yurary Poulsen,Right Wing,1.036733,3788742,5536,,,,,0.9718964506428992,Complete,5527,Thomas Delaney,Ground Pass,Right Foot,104.7,30.6,98.8,31.5
478a0b48-f27c-440a-a889-d145299f80dc,2223,2,00:13:35.028,58,Goal Kick,120,From Goal Kick,Finland,Joona Toivio,Right Center Back,3.27656,3788742,26939,,True,,,0.9842598213658564,Complete,8667,Lukáš Hrádecký,Ground Pass,Left Foot,6.0,44.0,7.2,53.9
3a804d11-01a9-4d66-9b50-82050c149478,2225,2,00:13:38.304,58,,120,From Goal Kick,Finland,Lukáš Hrádecký,Goalkeeper,1.264643,3788742,8667,,True,,,0.9434759916345848,Complete,13215,Glen Kamara,Ground Pass,Right Foot,7.2,50.5,31.6,52.2
7ea996c0-cd61-4c9f-b39a-0897b44feb46,2229,2,00:13:39.625,58,,120,From Goal Kick,Finland,Glen Kamara,Left Center Midfield,1.016843,3788742,13215,True,,,,0.9834569374806452,Complete,24455,Paulus Arajuuri,Ground Pass,Right Foot,32.982887,52.14435,26.5,35.1
68ad5c1d-5228-464d-a376-c9773a343116,2231,2,00:13:40.642,58,,120,From Goal Kick,Finland,Paulus Arajuuri,Center Back,2.140242,3788742,24455,,,,,0.9883704159477243,Complete,15416,Jukka Raitala,Ground Pass,Right Foot,26.969418,40.882755,42.4,74.1
7109c7ae-aa28-4f0f-9d55-d98111a99bd2,2234,2,00:13:43.494,58,,120,From Goal Kick,Finland,Jukka Raitala,Right Wing Back,1.039188,3788742,15416,,,,,0.9913109142413408,Complete,13215,Glen Kamara,Ground Pass,Left Foot,46.880264,74.71128,40.8,64.8
715df8ca-7466-4afd-b69b-6edb49bedd41,2238,2,00:13:46.538,58,,120,From Goal Kick,Finland,Glen Kamara,Left Center Midfield,1.254536,3788742,13215,,,,,0.908835110638394,Complete,24321,Robin Lod,Ground Pass,Left Foot,41.081867,58.02035,59.3,48.6
26d33063-57de-4821-bfa7-a7e3b6771e25,2241,2,00:13:47.833,58,,120,From Goal Kick,Finland,Robin Lod,Right Center Midfield,1.445231,3788742,24321,,,,,0.9705717405549971,Complete,24648,Tim Sparv,Ground Pass,Left Foot,59.90029,50.068233,63.5,35.7
899cd0c6-15f9-4dc6-a5a5-8cbfb6eed92c,2244,2,00:13:50.280,58,,120,From Goal Kick,Finland,Tim Sparv,Center Defensive Midfield,1.769813,3788742,24648,,,,,0.9204397464204228,Complete,16550,Jere Juhani Uronen,Ground Pass,Left Foot,65.856964,32.72539,85.3,6.9
d7d32633-cc38-48bd-9843-3794f6e39e4d,2247,2,00:13:54.289,58,,120,From Goal Kick,Finland,Jere Juhani Uronen,Left Wing Back,0.954231,3788742,16550,,,,,0.9397755499185909,Complete,9476,Teemu Pukki,Ground Pass,Left Foot,94.92142,7.726851,103.4,25.0
c1be622c-c719-448a-be35-2b3ac31cfdee,2250,2,00:13:58.479,58,,120,From Goal Kick,Finland,Teemu Pukki,Left Center Forward,0.874044,3788742,9476,,,,,0.9566908868476504,Complete,16550,Jere Juhani Uronen,Ground Pass,Left Foot,108.32988,23.574247,99.2,11.8
c6a8b8c1-e63a-47df-bff0-608cfbc649d4,2253,2,00:14:00.721,59,,120,From Goal Kick,Finland,Jere Juhani Uronen,Left Wing Back,1.588939,3788742,16550,,,,,0.21775368167289352,Complete,9725,Joel Pohjanpalo,High Pass,Left Foot,100.34478,12.217643,111.5,42.4
2f867ebd-c5fa-4978-930a-0078731f5bfe,2257,2,00:15:05.887,60,Kick Off,121,From Kick Off,Denmark,Jonas Older Wind,Center Forward,3.433267,3788742,21261,,True,,,0.9838262365170379,Complete,3959,Andreas Christensen,Ground Pass,Right Foot,61.0,40.1,37.9,44.4
f7a13539-9a6e-4d20-8a66-7067dd5114f3,2259,2,00:15:11.152,60,,121,From Kick Off,Denmark,Andreas Christensen,Left Center Back,1.781845,3788742,3959,,True,,,0.9876410171781717,Complete,16554,Joakim Mæhle,Ground Pass,Right Foot,37.9,40.8,41.7,9.7
81ede848-63f5-4a4c-a28a-bb8e2ea53e71,2261,2,00:15:12.934,60,,121,From Kick Off,Denmark,Joakim Mæhle,Left Back,1.272269,3788742,16554,,,,,0.93599167273698,Complete,4447,Martin Braithwaite Christensen,Ground Pass,Right Foot,56.938385,9.24498,72.1,6.7
f36b9048-dfcb-4fb8-b836-9cf5eafbe68c,2264,2,00:15:14.993,60,,121,From Kick Off,Denmark,Martin Braithwaite Christensen,Left Wing,2.011367,3788742,4447,,,,,0.9888847002011758,Complete,3959,Andreas Christensen,Ground Pass,Left Foot,68.05364,3.03095,50.8,22.0
fabe517f-d328-4b50-b8bd-42f71b54a82e,2267,2,00:15:18.549,60,,121,From Kick Off,Denmark,Andreas Christensen,Left Center Back,1.919066,3788742,3959,,,,,0.9868127293358504,Complete,5534,Simon Thorup Kjær,Ground Pass,Right Foot,49.30294,26.26126,51.5,59.1
bdad8b35-d5af-45b3-8849-f34f7023ab33,2270,2,00:15:21.648,60,,121,From Kick Off,Denmark,Simon Thorup Kjær,Right Center Back,1.582208,3788742,5534,,,,,0.8451588414291717,Complete,6797,Daniel Wass,Low Pass,Left Foot,53.10397,55.914356,66.8,73.9
63674f1d-a978-41a5-8852-404cd2612c4d,2273,2,00:15:24.384,60,,121,From Kick Off,Denmark,Daniel Wass,Right Back,0.929633,3788742,6797,,,,,0.9877372651591986,Complete,5527,Thomas Delaney,Ground Pass,Right Foot,67.91176,79.61402,68.1,67.3
eccad8f8-80be-4383-a8a7-b98a44e730b8,2276,2,00:15:26.520,60,,121,From Kick Off,Denmark,Thomas Delaney,Left Center Midfield,1.218527,3788742,5527,,,,,0.9942723194036328,Complete,5534,Simon Thorup Kjær,Ground Pass,Left Foot,65.18763,69.60834,55.0,66.2
a52c9882-de8c-400c-9703-1aac1b646c03,2279,2,00:15:28.623,60,,121,From Kick Off,Denmark,Simon Thorup Kjær,Right Center Back,1.633433,3788742,5534,,,,,0.9787812940788544,Complete,3959,Andreas Christensen,Ground Pass,Right Foot,52.74159,59.378826,54.2,40.4
760ebd25-58f1-4caf-baa2-0dd01ab2b346,2282,2,00:15:31.397,60,,121,From Kick Off,Denmark,Andreas Christensen,Left Center Back,1.635517,3788742,3959,,,,,0.9798023494051156,Complete,16554,Joakim Mæhle,Ground Pass,Right Foot,57.02168,33.589947,69.9,9.2
b32b4ebe-72b3-4297-adfb-bcc3bfe39ed1,2285,2,00:15:34.416,60,,121,From Kick Off,Denmark,Joakim Mæhle,Left Back,0.969064,3788742,16554,,,,,0.9416116112003892,Complete,4447,Martin Braithwaite Christensen,Ground Pass,Right Foot,72.52708,7.95014,87.0,3.5
94e393cc-a5c4-443d-ba7a-ca1d83e945f8,2291,2,00:15:45.671,60,Free Kick,122,From Free Kick,Denmark,Joakim Mæhle,Left Back,1.070134,3788742,16554,,,,,0.9653126584250352,Complete,18722,Mathias Jensen,Ground Pass,Right Foot,86.7953,0.71989,92.3,6.4
fbdd7601-8df1-457e-8bdb-71ac52c1a164,2293,2,00:15:46.741,60,,122,From Free Kick,Denmark,Mathias Jensen,Right Center Midfield,1.640586,3788742,18722,,,,,0.986400248943557,Complete,3959,Andreas Christensen,Ground Pass,Right Foot,93.51004,2.38092,69.9,13.0
a78b650a-59a9-4540-bef6-4242e46ee0cb,2296,2,00:15:49.298,60,,122,From Free Kick,Denmark,Andreas Christensen,Left Center Back,1.215115,3788742,3959,,,,,0.9924138224214152,Complete,3570,Pierre-Emile Højbjerg,Ground Pass,Right Foot,70.32534,17.570667,71.7,30.3
ae1dc59f-8fc6-4236-b828-09c2a053380f,2299,2,00:15:51.335,60,,122,From Free Kick,Denmark,Pierre-Emile Højbjerg,Center Defensive Midfield,3.363896,3788742,3570,,,,,0.20281646906353576,Complete,6797,Daniel Wass,High Pass,Right Foot,72.10408,39.27502,107.1,57.2
