id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,out,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
051bc9d6-5173-4cd4-b40c-fed9ffc4f0c1,3105,2,83,,125,Regular Play,England,Tyrone Mings,Left Center Back,3.966657,3788759,3323,,,,,0.12000394962802545,Incomplete,3318,Marcus Rashford,High Pass,Left Foot,2.4927907,25.371416,55.0,3.1
144f97c7-43fb-45f9-b0ae-6917302337dc,3108,2,83,Recovery,125,Regular Play,Scotland,Grant Hanley,Center Back,1.133763,3788759,9481,True,,,,0.6685141702549205,Complete,9048,"Stephen O""Donnell",Low Pass,,65.145004,73.97749,75.3,75.3
c856d9ba-f224-45fc-a07f-5721c7c99558,3111,2,83,,125,Regular Play,Scotland,"Stephen O""Donnell",Right Wing Back,1.726565,3788759,9048,,,,,0.8318694047268991,Complete,10540,Kieran Tierney,High Pass,Right Foot,73.43593,70.34119,56.6,42.6
4c5f0982-059a-47b7-91ce-f4caac8f93a3,3114,2,83,,125,Regular Play,Scotland,Kieran Tierney,Left Center Back,0.815227,3788759,10540,,,,,0.9422056670702762,Complete,10534,Callum McGregor,Ground Pass,Left Foot,64.13443,36.810143,68.6,44.4
7231edc3-e5dc-4bd0-a3d5-67ea3b11263f,3117,2,83,,125,Regular Play,Scotland,Callum McGregor,Left Defensive Midfield,2.519909,3788759,10534,,,,,0.7237825011745257,Complete,3655,Andrew Robertson,High Pass,Left Foot,70.359245,39.131557,80.5,4.3
0020356a-baaf-41d6-a7a3-74ac4f5647b7,3120,2,84,,125,Regular Play,Scotland,Andrew Robertson,Left Wing Back,2.510676,3788759,3655,,,,,0.9667180487307149,Complete,10540,Kieran Tierney,Ground Pass,Left Foot,76.35356,1.51984,48.5,28.2
874b18fd-c632-4687-b5e7-fa646ea3b19b,3123,2,84,,125,Regular Play,Scotland,Kieran Tierney,Left Center Back,1.429544,3788759,10540,,,,,0.990606086664658,Complete,9481,Grant Hanley,Ground Pass,Left Foot,48.58644,25.507156,44.9,42.2
16872c54-16c0-452d-adf6-aa5e1561dd29,3126,2,84,,125,Regular Play,Scotland,Grant Hanley,Center Back,2.655472,3788759,9481,,,,,0.9884903930840906,Complete,9645,David Marshall,Ground Pass,Right Foot,43.28254,38.598434,14.9,44.2
8a5d5359-d02f-4d28-9c57-7f2443f78bf9,3129,2,84,,125,Regular Play,Scotland,David Marshall,Goalkeeper,1.530134,3788759,9645,,,,,0.9859256933937214,Complete,3620,Scott McTominay,Ground Pass,Right Foot,16.66091,44.065174,24.4,61.1
73c776c8-4c4f-4f5f-a0c2-2f154000cac6,3132,2,84,,125,Regular Play,Scotland,Scott McTominay,Right Center Back,1.732646,3788759,3620,,,,,0.6944441829834437,Complete,9048,"Stephen O""Donnell",Low Pass,Right Foot,27.242004,59.37329,49.5,75.7
44455a53-23f1-432b-b54f-c1d2114a4e32,3135,2,84,,125,Regular Play,Scotland,"Stephen O""Donnell",Right Wing Back,1.608685,3788759,9048,,,,,0.3061235823359019,Incomplete,29571,Lyndon Dykes,High Pass,Right Foot,48.228676,74.23524,71.3,77.3
95695185-f942-4cad-ae4b-0028242d2619,3143,2,85,Free Kick,126,From Free Kick,Scotland,John McGinn,Center Attacking Midfield,2.942294,3788759,9974,,,,,0.5224416208419171,Incomplete,,,High Pass,Left Foot,72.30385,69.12889,113.3,38.0
eeba22e9-d8d2-4112-8448-3229715cb33f,3146,2,85,,127,Regular Play,England,Jordan Pickford,Goalkeeper,1.288939,3788759,3468,,,,,0.993787270372927,Complete,3323,Tyrone Mings,Ground Pass,Keeper Arm,16.457811,34.360245,20.9,33.3
d7e2f5cb-a852-489c-84b6-878957ac2eba,3149,2,85,,127,Regular Play,England,Tyrone Mings,Left Center Back,1.099936,3788759,3323,,,,,0.959383912712612,Complete,4706,Kalvin Phillips,Ground Pass,Left Foot,20.593498,33.039833,35.4,31.4
c2c28aa4-5a37-41f1-b1cc-0cf4c05ec9e7,3152,2,85,,127,Regular Play,England,Kalvin Phillips,Right Defensive Midfield,2.081936,3788759,4706,,,,,0.9669871317357828,Complete,3382,Luke Shaw,Ground Pass,Right Foot,39.551155,33.85228,44.6,4.1
