id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y,passing_accuracy
d414f4c2-e14c-4001-89de-9424ac12eb81,2033,2,00:16:16.305,61,,102,From Corner,Wales,Ben Davies,Left Back,1.028087,3788744,3086,True,,,,0.9844678427341854,Complete,3853,Kieffer Roberto Francisco Moore,Ground Pass,Left Foot,60.50407,19.20489,62.9,31.6,0.71 (30/42)
b57a1aa3-0eaf-4986-8ac1-fc87d83e5366,2036,2,00:16:17.859,61,,102,From Corner,Wales,Kieffer Roberto Francisco Moore,Center Forward,0.932424,3788744,3853,,,,,0.9931987406776112,Complete,10931,Joe Allen,Ground Pass,Right Foot,61.070873,30.290794,56.4,24.6,0.59 (10/17)
528a6a84-9730-4a07-bf57-55655c0ce48a,2039,2,00:16:21.588,61,,102,From Corner,Wales,Joe Allen,Center Defensive Midfield,1.230922,3788744,10931,,,,,0.9027639197408108,Complete,6399,Gareth Frank Bale,Low Pass,Right Foot,64.88313,24.675407,71.7,51.7,0.86 (30/35)
a6bf0174-8966-4e46-bc48-d76630ea9112,2048,2,00:16:34.716,61,,103,Regular Play,Switzerland,Remo Freuler,Right Defensive Midfield,2.208964,3788744,6983,True,,,,0.8189711547576056,Complete,5543,Haris Seferović,Ground Pass,Right Foot,41.934418,73.71592,73.1,73.9,0.9 (56/62)
27945c76-1823-43e7-b903-6a9cf1450142,2052,2,00:16:39.067,61,,103,Regular Play,Switzerland,Haris Seferović,Right Center Forward,0.736385,3788744,5543,,,,,0.9851523622401728,Complete,3500,Granit Xhaka,Ground Pass,Left Foot,70.09601,71.64351,64.0,55.5,0.56 (14/25)
bc41abb1-cc03-477d-943f-392f2b70753c,2055,2,00:16:41.192,61,,103,Regular Play,Switzerland,Granit Xhaka,Left Defensive Midfield,1.99136,3788744,3500,,,,,0.8726054398948555,Incomplete,5545,Breel-Donald Embolo,Ground Pass,Left Foot,67.67429,55.3891,99.2,51.4,0.88 (61/69)
02cd61fc-6c9c-4ebb-9119-7e23feb934f2,2057,2,00:16:43.184,61,Interception,104,Regular Play,Wales,Chris Mepham,Right Center Back,1.526028,3788744,4767,,,True,,0.9861285174018152,Complete,11250,Joe Rodon,Ground Pass,Right Foot,20.43236,26.116066,25.1,25.9,0.78 (21/27)
6f7b1f1e-5c96-499d-8b47-d1316817164f,2060,2,00:16:44.710,61,,104,Regular Play,Wales,Joe Rodon,Left Center Back,0.9717,3788744,11250,True,,,,0.973379902639939,Complete,22074,Joseff Morrell,Ground Pass,Right Foot,24.80241,21.378452,30.7,40.3,0.9 (27/30)
38d070dc-6751-4102-a21d-2517e646472b,2063,2,00:16:47.124,61,,104,Regular Play,Wales,Joseff Morrell,Right Center Midfield,1.171922,3788744,22074,,,,,0.923123283288607,Complete,6399,Gareth Frank Bale,Ground Pass,Right Foot,34.15148,38.81407,54.9,44.0,0.97 (29/30)
a4ec5138-a522-4cf3-8d7d-c0c89121cfc2,2067,2,00:16:49.157,61,,104,Regular Play,Wales,Gareth Frank Bale,Right Midfield,1.153681,3788744,6399,True,,,,0.9859155414905044,Complete,22074,Joseff Morrell,Ground Pass,Left Foot,51.918625,43.352203,45.0,55.8,0.57 (16/28)
a8193099-394c-463a-be78-4078854fce2a,2070,2,00:16:51.251,61,,104,Regular Play,Wales,Joseff Morrell,Right Center Midfield,1.617398,3788744,22074,,,,,0.9953189164606382,Complete,4774,Connor Roberts,Ground Pass,Left Foot,42.92317,54.570187,33.0,72.9,0.97 (29/30)
62760b20-714b-44f3-9bda-930de3bb131e,2073,2,00:16:55.935,61,,104,Regular Play,Wales,Connor Roberts,Right Back,1.392204,3788744,4774,,,,,0.9787812940788544,Complete,10931,Joe Allen,Ground Pass,Right Foot,44.0,60.6,47.4,32.7,0.79 (26/33)
48ab92cd-2b54-4eee-8387-2b50c6a5bc7f,2076,2,00:16:59.185,61,,104,Regular Play,Wales,Joe Allen,Center Defensive Midfield,1.516767,3788744,10931,,,,,0.9054079443797064,Complete,3517,Aaron Ramsey,Ground Pass,Right Foot,52.0424,28.636784,69.4,13.8,0.86 (30/35)
4a7f2bd7-a7a0-4471-b280-575f090ded26,2080,2,00:17:08.931,62,,104,Regular Play,Wales,Aaron Ramsey,Left Center Midfield,0.90219,3788744,3517,,,,,0.9941854545448696,Complete,3086,Ben Davies,Ground Pass,Right Foot,74.401115,2.44211,69.0,15.8,0.84 (31/37)
34a004fb-8a0b-4a03-8d25-e97c03616c33,2083,2,00:17:11.559,62,,104,Regular Play,Wales,Ben Davies,Left Back,1.523048,3788744,3086,,,,,0.9918224805646813,Complete,4767,Chris Mepham,Ground Pass,Left Foot,66.189255,15.965256,55.6,42.0,0.71 (30/42)
44e66fa7-973c-4bc3-8f88-1f9353a60522,2086,2,00:17:14.232,62,,104,Regular Play,Wales,Chris Mepham,Right Center Back,1.897145,3788744,4767,,,,,0.9432672536212154,Complete,6399,Gareth Frank Bale,Ground Pass,Right Foot,53.17981,41.68902,70.5,62.7,0.78 (21/27)
b3e0b68e-a48c-4c58-9b3f-5cfc135bb99e,2089,2,00:17:17.992,62,,104,Regular Play,Wales,Gareth Frank Bale,Right Midfield,1.090702,3788744,6399,,,,,0.9858265455358958,Complete,22074,Joseff Morrell,Ground Pass,Left Foot,70.64682,56.746483,80.3,48.9,0.57 (16/28)
0a9d85f6-df5f-45b1-947a-645fe074a430,2092,2,00:17:20.184,62,,104,Regular Play,Wales,Joseff Morrell,Right Center Midfield,1.697066,3788744,22074,,,,,0.9777450965225754,Complete,4774,Connor Roberts,Ground Pass,Right Foot,81.99773,49.355988,81.1,75.4,0.97 (29/30)
