id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
8c291c0e-c193-45b4-a903-d3a5e1af020a,3515,2,92,Throw-in,161,From Throw In,Portugal,Kléper Laveran Lima Ferreira,Right Center Back,1.358433,3788764,20016,,True,,0.985075595791042,Complete,5206,Rúben Santos Gato Alves Dias,Low Pass,,56.1,80.0,49.8,63.0
f6b3a88c-238f-4b15-8767-a5cd04787200,3517,2,92,,161,From Throw In,Portugal,Rúben Santos Gato Alves Dias,Left Center Back,3.194554,3788764,5206,,,,0.40273296093609295,Incomplete,5218,André Miguel Valente Silva,High Pass,Right Foot,57.448486,60.63768,110.6,42.5
e2f190e1-57a5-4e6a-a76c-163293004753,3521,2,92,,162,From Keeper,Germany,Manuel Neuer,Goalkeeper,1.676214,3788764,5570,,,,0.9866889380377876,Complete,6324,Leon Goretzka,Ground Pass,Keeper Arm,14.33514,32.711456,38.6,41.5
accc4fe4-3fa4-4569-9021-03c2de665e87,3524,2,92,,162,From Keeper,Germany,Leon Goretzka,Left Attacking Midfield,2.142805,3788764,6324,,,,0.9795957236512916,Complete,5579,Joshua Kimmich,Ground Pass,Right Foot,38.447334,41.459576,42.0,63.6
4d350f55-d215-40d9-add9-1b3ee2760665,3527,2,92,,162,From Keeper,Germany,Joshua Kimmich,Right Wing Back,0.893879,3788764,5579,,,,0.992440666105646,Complete,3053,Leroy Sané,Ground Pass,Right Foot,84.73813,70.97746,76.2,73.7
d38aac8d-6990-4155-8204-b0ff3790c3f5,3530,2,92,,162,From Keeper,Germany,Leroy Sané,Center Forward,1.224647,3788764,3053,,,,0.9808725025209416,Complete,6324,Leon Goretzka,Ground Pass,Right Foot,77.01887,75.513626,70.3,68.8
1f2ec065-efe3-443f-953b-7ab42fc0b0cb,3533,2,92,,162,From Keeper,Germany,Leon Goretzka,Left Attacking Midfield,0.872984,3788764,6324,,,,0.9837087623167191,Complete,3493,Emre Can,Ground Pass,Right Foot,68.82938,70.59498,70.3,60.9
722fdf70-270f-40b3-8795-f5a1bb50b487,3536,2,92,,162,From Keeper,Germany,Emre Can,Right Center Midfield,0.749937,3788764,3493,,,,0.9938132332132804,Complete,5574,Toni Kroos,Ground Pass,Right Foot,66.309235,56.540276,63.7,47.0
4be6e4a8-e026-41be-81d9-61052b7edbef,3539,2,92,,162,From Keeper,Germany,Toni Kroos,Left Center Midfield,1.499896,3788764,5574,,,,0.9156180503170924,Complete,5562,Thomas Müller,Ground Pass,Right Foot,61.82912,45.8888,74.5,36.8
316799d3-da4c-4787-861b-c0cae49e3eea,3542,2,92,,162,From Keeper,Germany,Thomas Müller,Right Attacking Midfield,1.088217,3788764,5562,,,,0.99141054534876,Complete,3167,Antonio Rüdiger,Ground Pass,Right Foot,75.05878,34.338554,64.9,22.0
1371906b-81cf-43c7-8f05-229c128deddc,3545,2,92,,162,From Keeper,Germany,Antonio Rüdiger,Left Center Back,0.991243,3788764,3167,,,,0.9886294256526548,Complete,5574,Toni Kroos,Ground Pass,Right Foot,61.49004,21.274826,64.0,38.0
439ce261-a96f-4ba2-98e2-788ac35c2220,3548,2,92,,162,From Keeper,Germany,Toni Kroos,Left Center Midfield,1.939741,3788764,5574,,,,0.9764908837524604,Complete,3167,Antonio Rüdiger,Ground Pass,Right Foot,64.0,37.6,71.0,21.8
737d4bdf-2edf-4e9f-a86d-fab9d48448f8,3551,2,92,,162,From Keeper,Germany,Antonio Rüdiger,Left Center Back,1.470796,3788764,3167,,,,0.9928107722078874,Complete,5574,Toni Kroos,Ground Pass,Right Foot,71.51405,7.94156,55.5,20.1
d101b48f-f4fe-4bb7-a624-0198ad4650df,3565,2,93,,163,From Counter,Portugal,Cristiano Ronaldo dos Santos Aveiro,Right Center Forward,0.949979,3788764,5207,True,,,0.8508351973296177,Complete,5218,André Miguel Valente Silva,Ground Pass,Right Foot,98.398315,50.298492,106.7,47.9
6157b04e-2ccf-4496-9709-55e29663e2ca,3571,2,93,Corner,164,From Corner,Portugal,João Filipe Iria Santos Moutinho,Right Center Midfield,2.142853,3788764,3168,,,,0.6096748321008885,Complete,5206,Rúben Santos Gato Alves Dias,High Pass,Right Foot,118.34949,78.01825,108.9,31.2
