id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
14c77cce-9772-4dd8-a98d-8dc71e29a58f,1550,1,00:44:59.050,44,,82,Regular Play,Spain,Sergio Busquets i Burgos,Center Defensive Midfield,1.501957,3788775,5203,,,,0.9785777036694708,Complete,31953,Eric García Martret,Low Pass,Right Foot,66.50715,18.23864,49.7,29.7
b8e2ab7a-196b-4d76-b4a2-58f0af1a90ed,1553,1,00:45:07.672,45,,82,Regular Play,Spain,Eric García Martret,Right Center Back,2.0,3788775,31953,,,,0.9801874804227858,Complete,5199,Jorge Resurrección Merodio,Ground Pass,Right Foot,62.78549,43.78767,76.8,76.5
bc2df9a8-9b3e-4a3d-bfd3-0aef7838bf9d,1556,1,00:45:10.596,45,,82,Regular Play,Spain,Jorge Resurrección Merodio,Right Center Midfield,1.790505,3788775,5199,,,,0.28896218691440834,Complete,6766,Gerard Moreno Balaguero,High Pass,Right Foot,79.78596,76.83757,99.9,70.3
05f6a3b8-55fb-4cd6-8ccb-f339b6803749,1562,1,00:45:34.598,45,Throw-in,83,From Throw In,Spain,César Azpilicueta Tanco,Right Back,3.542062,3788775,3957,,,,0.7098110194816696,Complete,6766,Gerard Moreno Balaguero,High Pass,,105.5,80.0,101.4,53.0
f7a1f06b-dd44-4c14-9fd9-0fe520025c7e,1569,1,00:45:51.641,45,,85,From Keeper,Slovakia,Martin Dúbravka,Goalkeeper,1.189101,3788775,3711,,,,0.9961901989007432,Complete,30397,Ľubomír Šatka,Ground Pass,Keeper Arm,13.973326,45.99522,20.0,51.5
ea6b0f92-99d9-4bcc-9de5-3f01c2d80364,1572,1,00:45:54.146,45,,86,Regular Play,Slovakia,Ľubomír Šatka,Right Center Back,1.448824,3788775,30397,,,,0.9976311557681852,Complete,3711,Martin Dúbravka,Ground Pass,Right Foot,22.501497,59.242588,9.5,41.4
56ca7a66-45ad-4d80-8394-3dfa7dfcf6d2,1575,1,00:45:55.927,45,,87,Regular Play,Slovakia,Martin Dúbravka,Goalkeeper,1.413426,3788775,3711,,,,0.995009762124496,Complete,30397,Ľubomír Šatka,Ground Pass,Right Foot,11.240466,43.76563,15.5,64.1
5e3a860c-ab6f-43ac-82ea-c8b281683891,1578,1,00:46:00.240,46,,88,Regular Play,Slovakia,Ľubomír Šatka,Right Center Back,1.267446,3788775,30397,,,,0.9838436405603544,Complete,9722,Peter Pekarík,Ground Pass,Left Foot,28.916117,67.05728,40.9,75.4
eb7280d3-132d-4254-8cf7-9f84a6a18553,1581,1,00:46:02.728,46,,89,Regular Play,Slovakia,Peter Pekarík,Right Back,0.724439,3788775,9722,,,,0.9703870184573584,Complete,7975,Lukáš Haraslín,Ground Pass,Right Foot,46.754536,78.4904,55.9,75.2
700fa13c-b0ab-4732-8e9b-7e14da7d76fb,1587,1,00:46:06.085,46,Recovery,90,Regular Play,Spain,Aymeric Laporte,Left Center Back,1.703219,3788775,4353,,,,0.9964708512302356,Complete,11748,Unai Simón Mendibil,Ground Pass,Right Foot,44.7064,1.798485,17.8,26.5
6ea022d4-abc6-400e-8a67-c07b63bd0245,1590,1,00:46:11.775,46,,90,Regular Play,Spain,Unai Simón Mendibil,Goalkeeper,1.73666,3788775,11748,,,,0.992373529707628,Complete,4353,Aymeric Laporte,Ground Pass,Right Foot,16.44451,31.81232,22.7,13.9
7269030b-380e-42a6-9c18-bf131290a02b,1593,1,00:46:14.540,46,,90,Regular Play,Spain,Aymeric Laporte,Left Center Back,2.0,3788775,4353,,,,0.9917478611022283,Complete,11748,Unai Simón Mendibil,Ground Pass,Left Foot,24.26077,13.55052,10.3,37.6
d5dacd2e-b469-4034-9151-dc06e035f341,1596,1,00:46:18.080,46,,90,Regular Play,Spain,Unai Simón Mendibil,Goalkeeper,1.6,3788775,11748,,,,0.9914266457116756,Complete,31953,Eric García Martret,Ground Pass,Right Foot,11.86065,36.49124,15.0,57.5
660fa5e6-19d4-4e01-8eef-8f08c56b9cc3,1599,1,00:46:25.000,46,,90,Regular Play,Spain,Eric García Martret,Right Center Back,1.746479,3788775,31953,,,,0.9844543140102454,Complete,4353,Aymeric Laporte,Ground Pass,Right Foot,37.43676,47.187363,43.7,26.5
e8c7807e-1920-450e-a49c-a329953d855c,1602,1,00:46:29.821,46,,90,Regular Play,Spain,Aymeric Laporte,Left Center Back,1.6,3788775,4353,,,,0.9883321078266738,Complete,31953,Eric García Martret,Ground Pass,Left Foot,51.93609,25.562073,49.5,50.6
02b788e0-45fb-41cd-b439-96cff1339096,1605,1,00:46:33.021,46,,90,Regular Play,Spain,Eric García Martret,Right Center Back,0.8,3788775,31953,,,,0.984922571338135,Complete,3957,César Azpilicueta Tanco,Ground Pass,Right Foot,51.92463,51.3645,56.5,68.4
ee75ff06-4f68-49d1-9135-a525ad9789c8,1608,1,00:46:34.919,46,,90,Regular Play,Spain,César Azpilicueta Tanco,Right Back,1.045247,3788775,3957,,,,0.9628205998633532,Complete,3477,Álvaro Borja Morata Martín,Ground Pass,Right Foot,55.75855,62.697502,69.1,53.6
