id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,counterpress,off_camera,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
824ed3b5-6819-4cf6-b27f-f71c684e5e59,402,1,10,,22,Regular Play,Scotland,Grant Hanley,Center Back,1.468115,3788748,9481,,,,0.982692935052234,Complete,9621,Liam Cooper,Ground Pass,Right Foot,18.098782,43.43346,22.6,23.9
12332051-f4b6-41f4-8f80-a6fb9532e7c7,405,1,10,,22,Regular Play,Scotland,Liam Cooper,Left Center Back,3.479327,3788748,9621,,,,0.4049988017452937,Out,9048,"Stephen O""Donnell",High Pass,Left Foot,30.160719,25.684504,74.1,79.5
233a6768-2f6c-494d-987d-a183fd14a427,407,1,10,Throw-in,23,From Throw In,Czech Republic,Jan Bořil,Left Back,1.558611,3788748,4875,,,,0.9721861905260184,Complete,23452,Alex Král,Low Pass,,48.3,0.1,51.0,11.5
2da05d97-4708-4ae9-b231-9e5778a80362,410,1,10,,23,From Throw In,Czech Republic,Alex Král,Right Defensive Midfield,2.841835,3788748,23452,,,,0.9194929994015608,Complete,16570,Vladimír Coufal,High Pass,Right Foot,57.796482,13.478455,52.2,70.0
d5980cae-b888-4dc6-bfbb-0cbab33598a7,413,1,10,,23,From Throw In,Czech Republic,Vladimír Coufal,Right Back,0.730182,3788748,16570,,,,0.9821618508013472,Complete,23452,Alex Král,Ground Pass,Right Foot,93.32988,75.88812,90.2,71.4
359204a6-9710-4bfb-90cd-1b32ad4a25de,417,1,10,,23,From Throw In,Czech Republic,Alex Král,Right Defensive Midfield,1.351758,3788748,23452,True,,,0.9719052460272116,Complete,30328,Ondrej Celustka,Ground Pass,Left Foot,85.93661,73.43408,69.1,62.9
5cc30e71-13df-4425-afc7-2fcfe647a8ad,420,1,11,,23,From Throw In,Czech Republic,Ondrej Celustka,Right Center Back,0.988756,3788748,30328,,,,0.987383085468018,Complete,23452,Alex Král,Ground Pass,Left Foot,67.4885,61.123234,76.4,76.0
5041b2dd-edae-407e-ae25-6f48d2457394,423,1,11,,23,From Throw In,Czech Republic,Alex Král,Right Defensive Midfield,2.555552,3788748,23452,,,,0.7217098249269012,Incomplete,16570,Vladimír Coufal,Ground Pass,Left Foot,83.34374,69.38594,110.8,78.3
08016cba-bf01-462a-948a-4f0111448796,427,1,11,Throw-in,24,From Throw In,Czech Republic,Vladimír Coufal,Right Back,0.73117,3788748,16570,,,,0.9665583047754699,Complete,8579,Vladimír Darida,Low Pass,,106.10805,76.4312,98.1,74.4
fede8166-d678-4335-8de4-70f3d3fcdbd8,433,1,12,Free Kick,25,From Free Kick,Czech Republic,Jakub Jankto,Left Wing,2.489259,3788748,8095,,,,0.326816909175207,Out,13197,Tomáš Kalas,High Pass,Left Foot,93.718216,75.4261,119.9,33.5
a265cb6b-f1fb-439b-a416-aeaad938206d,435,1,12,Goal Kick,26,From Goal Kick,Scotland,David Marshall,Goalkeeper,3.368678,3788748,9645,,,,0.3026828100994289,Incomplete,29571,Lyndon Dykes,High Pass,Right Foot,5.5221887,46.218143,71.2,67.6
f44cba6a-be95-4caf-beae-091f5a9f31d4,439,1,13,Throw-in,27,From Throw In,Scotland,"Stephen O""Donnell",Right Wing Back,2.072656,3788748,9048,,,,0.5360032506418011,Incomplete,12510,Ryan Christie,High Pass,,64.88302,80.32216,91.0,69.7
511e5e26-5456-4ba5-9a52-530cd4ed4702,443,1,13,Recovery,27,From Throw In,Scotland,Scott McTominay,Center Defensive Midfield,1.261351,3788748,3620,True,,,0.4774451517131618,Complete,29571,Lyndon Dykes,High Pass,,77.0,68.6,88.3,65.1
17b40b38-8169-462a-970d-fe3f653bf787,445,1,13,,27,From Throw In,Scotland,Lyndon Dykes,Right Center Forward,0.700483,3788748,29571,,,,0.6147146253594534,Incomplete,12510,Ryan Christie,High Pass,Right Foot,88.58718,62.290176,92.2,55.5
