id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
f80401df-b41b-429c-b01c-d602d3d3cc58,3356,2,00:42:30.289,87,,123,Regular Play,Sweden,Robin Quaison,Right Center Forward,2.433663,3788750,8552,,,,,0.2489752562894476,Incomplete,5613,Viktor Claesson,High Pass,Head,49.1,8.0,64.9,26.1
f7887cb9-427a-41e9-87a4-c3121c642b14,3360,2,00:42:33.963,87,,124,Regular Play,Spain,Pau Francisco Torres,Left Center Back,2.156245,3788750,6892,,,,,0.9781867805290492,Complete,30486,Pedro González López,Ground Pass,Left Foot,54.107124,46.928047,69.1,28.6
c199072d-65c7-4d76-95ea-fb8c4090e92b,3363,2,00:42:38.240,87,,124,Regular Play,Spain,Pedro González López,Left Center Midfield,0.835508,3788750,30486,,,,,0.9780345614426864,Complete,6766,Gerard Moreno Balaguero,Ground Pass,Right Foot,75.53101,27.979668,85.9,40.0
1cd98b34-83dc-4ff9-a3bc-49502792ef6d,3366,2,00:42:39.076,87,,124,Regular Play,Spain,Gerard Moreno Balaguero,Center Forward,1.993535,3788750,6766,,,,,0.4142671852781887,Complete,5211,Jordi Alba Ramos,High Pass,Left Foot,86.80601,35.085815,104.5,10.5
f7ec2f62-c534-4829-9d8f-fa73ac8567f0,3369,2,00:42:42.660,87,,124,Regular Play,Spain,Jordi Alba Ramos,Left Back,1.006139,3788750,5211,,,,,0.9837323248584939,Complete,6685,Mikel Oyarzabal Ugarte,Ground Pass,Left Foot,107.10551,6.792625,103.9,16.0
c8b5550f-84e2-4b0e-86d8-03a53d85a9a7,3371,2,00:42:43.666,87,,124,Regular Play,Spain,Mikel Oyarzabal Ugarte,Left Wing,0.419067,3788750,6685,,,,,0.35323649895209885,Incomplete,5211,Jordi Alba Ramos,Ground Pass,Left Foot,108.80084,15.778015,108.1,16.0
4f6e75fd-513a-498b-8d41-9958af2bb877,3375,2,00:42:44.810,87,,124,Regular Play,Sweden,Sebastian Larsson,Right Midfield,0.677958,3788750,5617,,,,,0.9822057246798124,Complete,6358,Emil Krafth,Ground Pass,Right Foot,7.7591166,60.432213,7.4,53.9
59bfcf43-ec44-40c1-a316-6d0971bc420b,3377,2,00:42:45.488,87,,124,Regular Play,Sweden,Emil Krafth,Right Back,5.917564,3788750,6358,,,,,0.0657540084110144,Incomplete,,,High Pass,Right Foot,9.996045,54.402004,70.3,75.0
91ed63a5-477d-4de0-ac8c-8b807e4e77e0,3380,2,00:42:54.640,87,,124,Regular Play,Spain,Pau Francisco Torres,Left Center Back,1.711063,3788750,6892,,,,,0.9194758118805778,Complete,30486,Pedro González López,Ground Pass,Right Foot,53.513245,12.17349,68.6,7.7
9535ffcf-c890-4afd-9028-e66627ed14a2,3383,2,00:42:59.610,87,,124,Regular Play,Spain,Pedro González López,Left Center Midfield,1.358827,3788750,30486,,,,,0.9825684147088568,Complete,5208,Thiago Alcântara do Nascimento,Ground Pass,Right Foot,72.78503,11.64766,68.2,29.4
7aa50651-c1de-4557-a1d6-3a1ce9c09127,3386,2,00:43:02.320,88,,124,Regular Play,Spain,Thiago Alcântara do Nascimento,Center Defensive Midfield,2.424274,3788750,5208,,,,,0.4597751304936974,Incomplete,5211,Jordi Alba Ramos,High Pass,Right Foot,69.60492,30.140923,105.5,23.2
ef6c9bba-065d-4565-b766-f02dfed4fa96,3388,2,00:43:04.744,88,Interception,124,Regular Play,Sweden,Emil Krafth,Right Back,2.489877,3788750,6358,,,,,0.4421275588551185,Incomplete,5617,Sebastian Larsson,High Pass,Head,43.599834,35.762646,29.8,71.4
4261fbf6-5004-4d55-9b0e-78bf190c5bb3,3390,2,00:43:07.234,88,Recovery,124,Regular Play,Spain,Mikel Oyarzabal Ugarte,Left Wing,1.171988,3788750,6685,,,,,0.9087945398430956,Complete,30486,Pedro González López,Low Pass,Head,89.526344,9.985756,82.8,9.0
1973059e-b0d8-43e6-a207-42d4e102fdfb,3393,2,00:43:10.777,88,,124,Regular Play,Spain,Pedro González López,Left Center Midfield,2.291169,3788750,30486,,,,,0.9880361078231314,Complete,6655,Fabián Ruiz Peña,Ground Pass,Right Foot,74.107056,16.70635,72.5,59.5
3c433e2b-13e4-4c84-8400-901198cce671,3396,2,00:43:13.964,88,,124,Regular Play,Spain,Fabián Ruiz Peña,Right Center Midfield,1.671035,3788750,6655,,,,,0.9366683576918649,Complete,6840,Marcos Llorente Moreno,Ground Pass,Left Foot,76.9,64.9,91.8,76.2
