id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,counterpress,off_camera,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
295a6c09-3d1f-48f1-bdbf-98d8d452d01f,2982,2,00:28:05.661,73,,141,From Throw In,Netherlands,Wout Weghorst,Right Center Forward,1.53079,3788770,7829,True,,,0.2734683152952277,Complete,8118,Frenkie de Jong,Low Pass,Right Foot,118.282875,79.06065,107.2,57.4
a51d3e56-fdfb-48d2-9cec-63355dfc63be,2984,2,00:28:07.192,73,,141,From Throw In,Netherlands,Frenkie de Jong,Right Defensive Midfield,0.202876,3788770,8118,,,,0.03848755644514697,Incomplete,7745,Steven Berghuis,Low Pass,Right Foot,108.52468,54.304188,106.7,55.1
3d81cc17-26cd-44db-a611-d85a39963a11,2989,2,00:28:09.414,73,,142,Regular Play,North Macedonia,Arijan Ademi,Right Defensive Midfield,1.145223,3788770,18879,,,,0.991708182154762,Complete,4713,Ezgjan Alioski,Ground Pass,Right Foot,11.46757,19.33078,16.8,8.3
8675bf2b-9b33-4e13-b34c-994afd55dd2d,2992,2,00:28:12.010,73,,142,Regular Play,North Macedonia,Ezgjan Alioski,Left Back,1.202324,3788770,4713,,,,0.9385755014817032,Complete,18879,Arijan Ademi,Ground Pass,Left Foot,21.02074,3.88083,44.8,22.7
386bcb45-1282-4c2d-a01d-9cd932457244,2995,2,00:28:14.671,73,,142,Regular Play,North Macedonia,Arijan Ademi,Right Defensive Midfield,3.080866,3788770,18879,,,,0.43974148866822776,Out,16535,Eljif Elmas,Low Pass,Right Foot,47.99526,21.622803,97.2,0.3
06f55013-c3ce-4a64-86e4-e52dd3ac6673,2997,2,00:28:33.346,73,Throw-in,143,From Throw In,Netherlands,Ryan Gravenberch,Left Defensive Midfield,0.898739,3788770,23230,,,True,0.9740248721745924,Complete,8069,Matthijs de Ligt,Low Pass,,34.2,80.0,9.3,74.4
5e077176-77b1-443c-9b95-91e8d11c3a3d,2999,2,00:28:34.435,73,,143,From Throw In,Netherlands,Matthijs de Ligt,Center Back,0.928635,3788770,8069,,,,0.9380839579224238,Complete,23230,Ryan Gravenberch,Ground Pass,Right Foot,11.4,74.0,25.6,75.4
2193adee-cf36-46b6-af42-04fd979c35c9,3002,2,00:28:37.070,73,,143,From Throw In,Netherlands,Ryan Gravenberch,Left Defensive Midfield,2.353873,3788770,23230,,,,0.9777673718520988,Complete,20201,Maarten Stekelenburg,Ground Pass,Right Foot,27.01349,66.83947,4.6,40.9
858b14c3-656f-41a7-82bd-bde21d517181,3005,2,00:28:40.872,73,,143,From Throw In,Netherlands,Maarten Stekelenburg,Goalkeeper,2.991666,3788770,20201,,,,0.9045473642738654,Complete,3311,Daley Blind,Ground Pass,Right Foot,6.296316,41.71799,16.7,27.6
413ddd51-d587-42f6-8c8b-dfb18444dbf6,3008,2,00:28:44.932,73,,143,From Throw In,Netherlands,Daley Blind,Left Center Back,1.550745,3788770,3311,,,,0.9803072557702234,Complete,8118,Frenkie de Jong,Ground Pass,Left Foot,28.370474,22.905622,37.3,45.8
