id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,out,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y,passing_accuracy
a94e6817-f587-4337-a5f8-fda2a45e6cdd,156,1,00:03:15.860,3,,7,Regular Play,Wales,Joseff Morrell,Right Defensive Midfield,0.791371,3794689,22074,,,,,0.9543138242809512,Complete,3517,Aaron Ramsey,Ground Pass,Right Foot,77.14919,57.74183,82.4,60.6,0.88 (28/32)
3a8605a1-1b19-499d-9709-70d1c242dc2b,159,1,00:03:16.651,3,,7,Regular Play,Wales,Aaron Ramsey,Center Attacking Midfield,1.966659,3794689,3517,True,,,,0.9570498867118676,Complete,4774,Connor Roberts,Ground Pass,Right Foot,85.22259,52.904984,89.3,76.8,0.79 (37/47)
1aaddab3-266e-4ac3-b456-7480d3897547,162,1,00:03:20.177,3,,7,Regular Play,Wales,Connor Roberts,Right Back,0.775426,3794689,4774,,,,,0.9937442500176916,Complete,3517,Aaron Ramsey,Ground Pass,Right Foot,86.4,75.8,83.1,69.2,0.94 (17/18)
c07f1ed4-709f-438b-bc96-19f7e6c53392,168,1,00:04:11.660,4,Free Kick,8,From Free Kick,Wales,Daniel James,Left Wing,1.562673,3794689,11252,,,,,0.6592188065842978,Complete,4767,Chris Mepham,High Pass,Right Foot,84.23336,68.70255,103.8,39.9,0.75 (15/20)
b186e7c3-2d6c-4492-91bf-cd16cc76127c,173,1,00:04:39.961,4,Corner,9,From Corner,Wales,Joe Allen,Left Defensive Midfield,1.491508,3794689,10931,,,,,0.9298063678202938,Complete,11252,Daniel James,Ground Pass,Right Foot,120.0,80.0,113.5,74.8,0.85 (44/52)
e688c0a3-a778-4d02-bc38-60c46cd99c99,176,1,00:04:41.480,4,,9,From Corner,Wales,Daniel James,Left Wing,1.485735,3794689,11252,,,,,0.21495473883916286,Incomplete,,,High Pass,Right Foot,113.5,74.7,112.8,39.1,0.75 (15/20)
bdd83cfb-e6e8-46df-87d9-76aa2d8445c1,178,1,00:04:45.400,4,Recovery,9,From Corner,Denmark,Martin Braithwaite Christensen,Right Attacking Midfield,3.183485,3794689,4447,True,,,,0.198326810597244,Incomplete,,,High Pass,,24.80053,31.443737,48.3,10.7,0.71 (24/34)
24842360-8c5b-471e-8b59-453506d11ae9,180,1,00:04:48.583,4,Recovery,9,From Corner,Wales,Joe Allen,Left Defensive Midfield,1.151954,3794689,10931,,,,,0.9918947221766304,Complete,4774,Connor Roberts,Ground Pass,Left Foot,72.8181,62.99969,57.4,56.5,0.85 (44/52)
f415df94-c920-4345-91e0-99175e8ec5f5,185,1,00:04:51.471,4,,9,From Corner,Wales,Connor Roberts,Right Back,1.678067,3794689,4774,True,,,,0.9331405713604324,Complete,11252,Daniel James,Ground Pass,Right Foot,63.649433,58.296307,84.7,76.4,0.94 (17/18)
3358b168-ae57-495a-8e2c-5fe73bba479c,188,1,00:04:56.252,4,,9,From Corner,Wales,Daniel James,Left Wing,0.244115,3794689,11252,,,,,0.013499704351521669,Incomplete,3853,Kieffer Roberto Francisco Moore,Low Pass,Right Foot,98.280556,70.30177,99.3,67.0,0.75 (15/20)
18ec1660-fee5-450f-a653-a72f00edb504,191,1,00:05:07.165,5,Throw-in,10,From Throw In,Wales,Connor Roberts,Right Back,1.796161,3794689,4774,,,,,0.6428978920329886,Complete,3517,Aaron Ramsey,Low Pass,,94.6,80.0,117.2,70.6,0.94 (17/18)
3867e9ba-d2ad-4851-87bd-6df33a96e1db,198,1,00:05:15.783,5,,11,Regular Play,Denmark,Joakim Mæhle,Left Wing Back,0.868005,3794689,16554,,,,,0.9535485006340806,Complete,24443,Mikkel Damsgaard,Ground Pass,Right Foot,5.551865,0.552864,16.5,3.7,0.86 (37/43)
7717b5e1-7dfb-49ac-8749-c48ba0ed4bc2,204,1,00:05:39.339,5,Free Kick,12,From Free Kick,Denmark,Joakim Mæhle,Left Wing Back,0.464189,3794689,16554,,True,,,0.8386023160633315,Complete,8815,Jannik Vestergaard,Ground Pass,Left Foot,6.1,17.5,20.4,15.2,0.86 (37/43)
997ef5d6-471b-4f61-a680-fdfb1fd54e1a,206,1,00:05:43.069,5,,12,From Free Kick,Denmark,Jannik Vestergaard,Left Center Back,2.817173,3794689,8815,,,,,0.24776206068485526,Incomplete,4447,Martin Braithwaite Christensen,High Pass,Right Foot,25.127396,17.244858,93.7,39.9,0.91 (52/57)
f72ca50d-c739-4a3d-8d14-331f9bec3181,211,1,00:05:51.584,5,,12,From Free Kick,Denmark,Martin Braithwaite Christensen,Right Attacking Midfield,1.388395,3794689,4447,,,,,0.7601471766218019,Complete,5524,Jens Stryger Larsen,Ground Pass,Right Foot,102.946526,59.99487,114.4,60.0,0.71 (24/34)
aad531f1-53f8-4ebd-bf4b-0579d7223ada,214,1,00:05:53.032,5,,12,From Free Kick,Denmark,Jens Stryger Larsen,Right Wing Back,0.647779,3794689,5524,,,,,0.12026931511761155,Incomplete,24443,Mikkel Damsgaard,Low Pass,Right Foot,111.86376,60.210445,113.5,46.2,0.7 (43/61)
c229eda5-8e61-405d-b025-d1f3e9940865,217,1,00:05:54.894,5,Recovery,12,From Free Kick,Denmark,Pierre-Emile Højbjerg,Right Defensive Midfield,3.576281,3794689,3570,,,,,0.8394114531074638,Complete,4447,Martin Braithwaite Christensen,Ground Pass,Right Foot,95.95063,54.850163,110.9,79.6,0.87 (53/61)
6d3e0bd5-6525-4b4f-8df2-d893ecfd1ecb,220,1,00:05:59.243,5,,12,From Free Kick,Denmark,Martin Braithwaite Christensen,Right Attacking Midfield,0.745164,3794689,4447,,,,,0.9720443176324304,Complete,5524,Jens Stryger Larsen,Ground Pass,Right Foot,111.70938,79.33636,102.7,75.3,0.71 (24/34)
279e08d1-a765-409a-aba0-081b404ba24e,224,1,00:06:03.688,6,,12,From Free Kick,Denmark,Jens Stryger Larsen,Right Wing Back,0.195177,3794689,5524,,,,,0.031269407301753545,Complete,4447,Martin Braithwaite Christensen,Ground Pass,Right Foot,105.95424,78.539536,107.5,78.7,0.7 (43/61)
4fae7d50-dd4f-4469-81c7-08058463f069,227,1,00:06:04.124,6,,12,From Free Kick,Denmark,Martin Braithwaite Christensen,Right Attacking Midfield,1.126613,3794689,4447,,,,,0.9571814772811332,Complete,3570,Pierre-Emile Højbjerg,Ground Pass,Right Foot,106.51598,79.371414,91.8,75.5,0.71 (24/34)
e9dd2be8-21c6-43c1-9687-171fa8ffc3f3,230,1,00:06:07.536,6,,12,From Free Kick,Denmark,Pierre-Emile Højbjerg,Right Defensive Midfield,0.791048,3794689,3570,,,,,0.8389384192487033,Complete,4447,Martin Braithwaite Christensen,Ground Pass,Left Foot,90.89515,76.959335,103.5,78.2,0.87 (53/61)
107f2737-0621-44af-b573-d2796c30bbb5,233,1,00:06:10.155,6,,12,From Free Kick,Denmark,Martin Braithwaite Christensen,Right Attacking Midfield,1.373885,3794689,4447,,,,,0.9739819417708421,Complete,3570,Pierre-Emile Højbjerg,Ground Pass,Right Foot,102.72843,77.63107,86.7,77.0,0.71 (24/34)
0ddda5cb-e305-4710-953a-b1c408197a9c,236,1,00:06:13.425,6,,12,From Free Kick,Denmark,Pierre-Emile Højbjerg,Right Defensive Midfield,2.174624,3794689,3570,,,,,0.973383394682864,Complete,5534,Simon Thorup Kjær,Ground Pass,Right Foot,85.36526,68.983345,69.0,44.5,0.87 (53/61)
